torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	397	5168	1538	2584
1	2029	5168	1266	2584
1	2029	5168	1130	2584
1	2029	5168	1402	2584
1	2845	5168	2490	2584
1	3933	5168	2082	2584
1	4477	5168	2354	2584
1	941	5168	1674	2584
1	4749	5168	722	2584
1	669	5168	1946	2584
1	3661	5168	1674	2584
1	125	5168	1538	2584
1	4749	5168	178	2584
1	3661	5168	1266	2584
1	3389	5168	1266	2584
1	4205	5168	2490	2584
1	4477	5168	2490	2584
1	941	5168	2218	2584
1	2573	5168	2218	2584
1	3389	5168	858	2584
1	3117	5168	450	2584
1	4749	5168	314	2584
1	2573	5168	2082	2584
1	1213	5168	178	2584
1	125	5168	858	2584
1	3117	5168	2354	2584
1	2845	5168	1946	2584
1	669	5168	2354	2584
1	1485	5168	2490	2584
1	4749	5168	42	2584
1	4205	5168	2082	2584
1	669	5168	1674	2584
1	1757	5168	1402	2584
1	4477	5168	2218	2584
1	1485	5168	994	2584
1	2301	5168	1538	2584
1	2573	5168	1538	2584
1	5021	5168	586	2584
1	4477	5168	314	2584
1	2029	5168	722	2584
1	4749	5168	2218	2584
1	125	5168	1130	2584
1	125	5168	994	2584
1	2845	5168	2354	2584
1	3933	5168	994	2584
1	1757	5168	722	2584
1	3661	5168	586	2584
1	1485	5168	450	2584
1	5021	5168	722	2584
1	1229	5168	674	2584
1	957	5168	2306	2584
1	4493	5168	538	2584
1	3133	5168	402	2584
1	2589	5168	674	2584
1	3677	5168	2306	2584
1	685	5168	2306	2584
1	3677	5168	1898	2584
1	3133	5168	810	2584
1	3405	5168	810	2584
1	1501	5168	1082	2584
1	4765	5168	1354	2584
1	3949	5168	2034	2584
1	1501	5168	946	2584
1	3677	5168	1626	2584
1	3133	5168	1490	2584
1	3405	5168	1354	2584
1	685	5168	402	2584
1	685	5168	2442	2584
1	2045	5168	1354	2584
1	141	5168	2170	2584
1	413	5168	2578	2584
1	1773	5168	946	2584
1	1501	5168	1218	2584
1	413	5168	2170	2584
1	2589	5168	2578	2584
1	4493	5168	2442	2584
1	957	5168	266	2584
1	5037	5168	1218	2584
1	1773	5168	1354	2584
1	1773	5168	1490	2584
1	2861	5168	2578	2584
1	5037	5168	1762	2584
1	5037	5168	674	2584
1	4221	5168	130	2584
1	2589	5168	2170	2584
1	4221	5168	2442	2584
1	3133	5168	946	2584
1	3949	5168	2170	2584
1	3949	5168	130	2584
1	957	5168	130	2584
1	141	5168	1490	2584
1	5037	5168	1354	2584
1	4493	5168	402	2584
1	3949	5168	1626	2584
1	1229	5168	538	2584
1	3133	5168	1082	2584
1	4765	5168	810	2584
1	4765	5168	674	2584
1	4765	5168	946	2584
1	413	5168	2034	2584
1	1501	5168	1626	2584
1	2045	5168	1898	2584
1	3677	5168	1218	2584
1	2317	5168	266	2584
1	3405	5168	1490	2584
1	1229	5168	1218	2584
1	2861	5168	1082	2584
1	2317	5168	2306	2584
1	1229	5168	810	2584
1	957	5168	810	2584
1	1773	5168	2034	2584
1	2045	5168	2034	2584
1	3677	5168	1762	2584
1	141	5168	1762	2584
1	957	5168	402	2584
1	685	5168	2578	2584
1	2317	5168	2442	2584
1	141	5168	1626	2584
1	3949	5168	2306	2584
1	2861	5168	402	2584
1	685	5168	1898	2584
1	413	5168	1490	2584
1	3405	5168	1898	2584
1	4221	5168	2034	2584
1	2317	5168	2170	2584
1	1773	5168	1626	2584
1	3405	5168	1218	2584
1	4493	5168	946	2584
1	2045	5168	1762	2584
1	4221	5168	538	2584
1	5037	5168	1082	2584
1	141	5168	1082	2584
1	2589	5168	130	2584
1	2045	5168	2442	2584
1	4765	5168	266	2584
1	2317	5168	1762	2584
1	2861	5168	674	2584
1	2861	5168	538	2584
1	413	5168	1898	2584
1	1501	5168	538	2584
1	4493	5168	266	2584
1	1229	5168	130	2584
1	4221	5168	2578	2584
1	2589	5168	266	2584
1	3053	5168	674	2584
1	2781	5168	2306	2584
1	1149	5168	538	2584
1	4957	5168	402	2584
1	4413	5168	674	2584
1	333	5168	2306	2584
1	2509	5168	2306	2584
1	333	5168	1898	2584
1	4957	5168	810	2584
1	61	5168	810	2584
1	3325	5168	1082	2584
1	1421	5168	1354	2584
1	605	5168	2034	2584
1	3325	5168	946	2584
1	333	5168	1626	2584
1	4957	5168	1490	2584
1	61	5168	1354	2584
1	2509	5168	402	2584
1	2509	5168	2442	2584
1	3869	5168	1354	2584
1	1965	5168	2170	2584
1	2237	5168	2578	2584
1	3597	5168	946	2584
1	3325	5168	1218	2584
1	2237	5168	2170	2584
1	4413	5168	2578	2584
1	1149	5168	2442	2584
1	2781	5168	266	2584
1	1693	5168	1218	2584
1	3597	5168	1354	2584
1	3597	5168	1490	2584
1	4685	5168	2578	2584
1	1693	5168	1762	2584
1	1693	5168	674	2584
1	877	5168	130	2584
1	4413	5168	2170	2584
1	877	5168	2442	2584
1	4957	5168	946	2584
1	605	5168	2170	2584
1	605	5168	130	2584
1	2781	5168	130	2584
1	1965	5168	1490	2584
1	1693	5168	1354	2584
1	1149	5168	402	2584
1	605	5168	1626	2584
1	3053	5168	538	2584
1	4957	5168	1082	2584
1	1421	5168	810	2584
1	1421	5168	674	2584
1	1421	5168	946	2584
1	2237	5168	2034	2584
1	3325	5168	1626	2584
1	3869	5168	1898	2584
1	333	5168	1218	2584
1	4141	5168	266	2584
1	61	5168	1490	2584
1	3053	5168	1218	2584
1	4685	5168	1082	2584
1	4141	5168	2306	2584
1	3053	5168	810	2584
1	2781	5168	810	2584
1	3597	5168	2034	2584
1	3869	5168	2034	2584
1	333	5168	1762	2584
1	1965	5168	1762	2584
1	2781	5168	402	2584
1	2509	5168	2578	2584
1	4141	5168	2442	2584
1	1965	5168	1626	2584
1	605	5168	2306	2584
1	4685	5168	402	2584
1	2509	5168	1898	2584
1	2237	5168	1490	2584
1	61	5168	1898	2584
1	877	5168	2034	2584
1	4141	5168	2170	2584
1	3597	5168	1626	2584
1	61	5168	1218	2584
1	1149	5168	946	2584
1	3869	5168	1762	2584
1	877	5168	538	2584
1	1693	5168	1082	2584
1	1965	5168	1082	2584
1	4413	5168	130	2584
1	3869	5168	2442	2584
1	1421	5168	266	2584
1	4141	5168	1762	2584
1	4685	5168	674	2584
1	4685	5168	538	2584
1	2237	5168	1898	2584
1	3325	5168	538	2584
1	1149	5168	266	2584
1	3053	5168	130	2584
1	877	5168	2578	2584
1	4413	5168	266	2584
1	1837	5168	978	2584
1	1565	5168	26	2584
1	5101	5168	842	2584
1	3741	5168	706	2584
1	3197	5168	978	2584
1	4285	5168	26	2584
1	1293	5168	26	2584
1	4285	5168	2202	2584
1	3741	5168	1114	2584
1	4013	5168	1114	2584
1	2109	5168	1386	2584
1	205	5168	1658	2584
1	4557	5168	2338	2584
1	2109	5168	1250	2584
1	4285	5168	1930	2584
1	3741	5168	1794	2584
1	4013	5168	1658	2584
1	1293	5168	706	2584
1	1293	5168	162	2584
1	2653	5168	1658	2584
1	749	5168	2474	2584
1	1021	5168	298	2584
1	2381	5168	1250	2584
1	2109	5168	1522	2584
1	1021	5168	2474	2584
1	3197	5168	298	2584
1	5101	5168	162	2584
1	1565	5168	570	2584
1	477	5168	1522	2584
1	2381	5168	1658	2584
1	2381	5168	1794	2584
1	3469	5168	298	2584
1	477	5168	2066	2584
1	477	5168	978	2584
1	4829	5168	434	2584
1	3197	5168	2474	2584
1	4829	5168	162	2584
1	3741	5168	1250	2584
1	4557	5168	2474	2584
1	4557	5168	434	2584
1	1565	5168	434	2584
1	749	5168	1794	2584
1	477	5168	1658	2584
1	5101	5168	706	2584
1	4557	5168	1930	2584
1	1837	5168	842	2584
1	3741	5168	1386	2584
1	205	5168	1114	2584
1	205	5168	978	2584
1	205	5168	1250	2584
1	1021	5168	2338	2584
1	2109	5168	1930	2584
1	2653	5168	2202	2584
1	4285	5168	1522	2584
1	2925	5168	570	2584
1	4013	5168	1794	2584
1	1837	5168	1522	2584
1	3469	5168	1386	2584
1	2925	5168	26	2584
1	1837	5168	1114	2584
1	1565	5168	1114	2584
1	2381	5168	2338	2584
1	2653	5168	2338	2584
1	4285	5168	2066	2584
1	749	5168	2066	2584
1	1565	5168	706	2584
1	1293	5168	298	2584
1	2925	5168	162	2584
1	749	5168	1930	2584
1	4557	5168	26	2584
1	3469	5168	706	2584
1	1293	5168	2202	2584
1	1021	5168	1794	2584
1	4013	5168	2202	2584
1	4829	5168	2338	2584
1	2925	5168	2474	2584
1	2381	5168	1930	2584
1	4013	5168	1522	2584
1	5101	5168	1250	2584
