u_num	u_den	t_num	t_den	w_num	w_den
11207	227716	-89401	175859	189494	112269
-83777	122691	-213739	231645	74172	132023
235360	140451	-186238	4019	82711	121228
201725	138313	76895	34389	-191973	172228
-98047	85480	-28223	228024	114313	67033
-205709	25881	83317	46689	133619	59426
-250787	43765	-9971	37023	-240586	38535
240557	148812	-249951	218659	223268	147733
-69406	6927	-69445	153618	61697	207073
-99175	65679	206924	156853	59343	191227
42502	193625	-158631	88628	6927	2282
176855	245438	77159	67433	-61964	78745
-208185	125062	-57291	151114	167055	198266
146485	232204	136068	171755	191033	204978
21525	29243	-176297	256298	203824	168471
-117709	54071	-39253	252920	194482	100879
-251338	46049	4843	138582	105761	253499
206406	251015	-4765	244886	261235	245491
-84509	24988	144664	149605	33537	154645
33450	107467	-194857	212065	-19946	222753
250478	250379	168606	55435	-256978	50757
-253741	51858	-22057	228199	31531	217612
-40463	113681	-217672	228071	162729	158636
176818	163621	253115	129031	-245714	171597
-245591	228887	34017	32717	122757	171566
-155031	37078	-137547	47383	44795	195553
18275	193354	2414	19405	46795	54463
247441	130369	-132158	236337	172693	185157
-74512	23795	-156791	244147	133169	135448
-155481	32077	-261175	129592	-8972	128575
67153	215539	-146523	89744	210009	170767
-114425	49447	-249951	104947	-218503	196415
-157386	83333	-195415	216551	-161041	197833
-171521	214572	256215	124954	-251112	23423
-105109	167461	-87058	59567	68008	27887
136393	24416	-58305	66802	-167109	213604
-220525	190943	18734	30805	220475	80429
-92192	163351	15548	116843	-142249	179328
241223	170921	1633	237361	216896	160757
-40842	219107	-133313	241430	-64388	135841
-234044	28363	4761	249536	-133747	74104
-23007	138418	238612	109391	-161497	133583
246463	7288	182729	181606	203272	209793
-223660	153921	-136045	104548	-229547	33747
-141781	247162	115313	123683	59133	233117
-214361	159444	-178126	199909	241926	96665
117437	139786	222917	70124	89607	215989
182509	190427	99541	206051	3065	155161
70025	201198	-125222	75797	28471	9468
-38029	144190	84337	116418	251705	225737
182593	15744	-223261	111097	42153	31409
85150	122647	-79373	101446	-113477	36037
-91095	169151	-196707	234926	256563	138422
47009	231678	-230299	23118	-134897	108805
27481	207722	-247515	175001	-126481	155719
-16171	168462	-166972	140729	226245	143872
-250721	234560	151931	84563	50323	87959
-171403	243759	-174841	246938	114331	235483
252422	122871	-1183	119155	73154	15867
30101	224082	74617	126018	-106024	215725
-20841	81007	151699	38578	151989	149069
163707	98830	121481	219027	-170839	167721
-198975	35038	-122467	131540	123076	235179
107944	233143	-141791	82913	139284	227015
117259	111713	51714	152597	-191164	116023
-85467	157622	-63767	86796	-206299	80906
69247	139134	9703	124364	127872	260285
3155	89916	-179945	152331	-11203	84954
-1214	166521	141933	28859	64009	162410
-107611	117904	138214	90657	-67503	194927
-186311	80926	-18308	3209	-48382	60339
156275	55827	199082	33729	-208487	229969
176821	124187	-89262	46457	185540	25147
-172803	222769	260452	70953	-106023	148436
-75796	248637	-225454	230743	-153837	42187
205589	63582	128061	71066	12553	22371
-152644	242661	-122694	108733	20925	144557
223996	214641	-120612	85639	184258	150571
-83235	99299	217558	78521	-178174	86787
-99053	73266	-201144	179263	-144696	2389
168877	170174	166634	143901	-220214	168195
-73933	232281	-132158	125479	-166396	108503
-257293	222389	112047	145484	154226	168063
184315	122052	117249	101459	11709	14035
243630	245351	-190965	120469	-103837	89244
-218123	231223	133342	202575	144958	231359
34937	178764	-230299	47340	-174653	133425
260267	36794	-26195	82084	-111569	70297
