t_num	t_den	r	a	b	c	d	curve_key	known_bank
1	2	-5828	52468	-305783504	93257	-543501796	52468,93257,305783504,543501796	0
1	2	-5808	52288	-303688704	92937	-539778096	52288,92937,303688704,539778096	0
1	2	-5695	51271	-291988345	91129	-518979655	51271,91129,291988345,518979655	0
1	2	-5685	51181	-290963985	90969	-517158765	51181,90969,290963985,517158765	0
1	2	-5641	1451	-8185091	2579	-14548139	1451,2579,8185091,14548139	0
1	2	-5628	50668	-285159504	90057	-506840796	50668,90057,285159504,506840796	0
1	2	-5511	9923	-54685653	17637	-97197507	9923,17637,54685653,97197507	0
1	2	-5509	49597	-273229873	88153	-485634877	49597,88153,273229873,485634877	0
1	2	-5496	9896	-54388416	17589	-96669144	9896,17589,54388416,96669144	0
1	2	-5434	48922	-265842148	86953	-472502602	48922,86953,265842148,472502602	0
1	2	-5395	48571	-262040545	86329	-465744955	48571,86329,262040545,465744955	0
1	2	-5318	47878	-254615204	85097	-452545846	47878,85097,254615204,452545846	0
1	2	-5301	1909	-10119609	3393	-17986293	1909,3393,10119609,17986293	0
1	2	-5277	6787	-35814999	12063	-63656451	6787,12063,35814999,63656451	0
1	2	-5186	1334	-6918124	2371	-12296006	1334,2371,6918124,12296006	0
1	2	-5083	45763	-232613329	81337	-413435971	45763,81337,232613329,413435971	0
1	2	-5069	45637	-231333953	81113	-411161797	45637,81113,231333953,411161797	0
1	2	-4837	43549	-210646513	77401	-374388637	43549,77401,210646513,374388637	0
1	2	-4814	43342	-208648388	77033	-370836862	43342,77033,208648388,370836862	0
1	2	-4742	42694	-202454948	75881	-359827702	42694,75881,202454948,359827702	0
1	2	-4729	42577	-201346633	75673	-357857617	42577,75673,201346633,357857617	0
1	2	-4697	42289	-198631433	75161	-353031217	42289,75161,198631433,353031217	0
1	2	-4693	42253	-198293329	75097	-352430221	42253,75097,198293329,352430221	0
1	2	-4684	42172	-197533648	74953	-351079852	42172,74953,197533648,351079852	0
1	2	-4641	8357	-38784837	14853	-68932773	8357,14853,38784837,68932773	0
1	2	-4564	41092	-187543888	73033	-333322612	41092,73033,187543888,333322612	0
1	2	-4497	40489	-182079033	71961	-323608617	40489,71961,182079033,323608617	0
1	2	-4495	40471	-181917145	71929	-323320855	40471,71929,181917145,323320855	0
1	2	-4445	40021	-177893345	71129	-316168405	40021,71129,177893345,316168405	0
1	2	-4352	39184	-170528768	69641	-303077632	39184,69641,170528768,303077632	0
1	2	-4278	38518	-164780004	68457	-292859046	38518,68457,164780004,292859046	0
1	2	-4187	37699	-157845713	67001	-280533187	37699,67001,157845713,280533187	0
1	2	-4170	37546	-156566820	66729	-278259930	37546,66729,156566820,278259930	0
1	2	-4147	37339	-154844833	66361	-275199067	37339,66361,154844833,275199067	0
1	2	-4068	36628	-149002704	65097	-264814596	36628,65097,149002704,264814596	0
1	2	-4060	36556	-148417360	64969	-263774140	36556,64969,148417360,263774140	0
1	2	-4031	1037	-4180147	1843	-7429133	1037,1843,4180147,7429133	0
1	2	-4001	1441	-5765441	2561	-10246561	1441,2561,5765441,10246561	0
1	2	-3938	35458	-139633604	63017	-248160946	35458,63017,139633604,248160946	0
1	2	-3917	35269	-138148673	62681	-245521477	35269,62681,138148673,245521477	0
1	2	-3822	34414	-131530308	61161	-233757342	34414,61161,131530308,233757342	0
1	2	-3741	6737	-25203117	11973	-44790993	6737,11973,25203117,44790993	0
1	2	-3640	32776	-119304640	58249	-212026360	32776,58249,119304640,212026360	0
1	2	-3627	32659	-118454193	58041	-210514707	32659,58041,118454193,210514707	0
1	2	-3598	32398	-116568004	57577	-207162046	32398,57577,116568004,207162046	0
1	2	-3520	4528	-15938560	8047	-28325440	4528,8047,15938560,28325440	0
1	2	-3510	31606	-110937060	56169	-197153190	31606,56169,110937060,197153190	0
1	2	-3488	31408	-109551104	55817	-194689696	31408,55817,109551104,194689696	0
1	2	-3475	31291	-108736225	55609	-193241275	31291,55609,108736225,193241275	0
1	2	-3462	31174	-107924388	55401	-191798262	31174,55401,107924388,191798262	0
1	2	-3364	30292	-101902288	53833	-181094212	30292,53833,101902288,181094212	0
1	2	-3288	29608	-97351104	52617	-173004696	29608,52617,97351104,173004696	0
1	2	-3184	4096	-13041664	7279	-23176336	4096,7279,13041664,23176336	0
1	2	-3169	28537	-90433753	50713	-160709497	28537,50713,90433753,160709497	0
1	2	-3134	28222	-88447748	50153	-157179502	28222,50153,88447748,157179502	0
1	2	-3133	28213	-88391329	50137	-157079221	28213,50137,88391329,157079221	0
1	2	-3111	5603	-17430933	9957	-30976227	5603,9957,17430933,30976227	0
1	2	-3069	27637	-84817953	49113	-150727797	27637,49113,84817953,150727797	0
1	2	-3068	27628	-84762704	49097	-150629596	27628,49097,84762704,150629596	0
1	2	-2821	5081	-14333501	9029	-25470809	5081,9029,14333501,25470809	0
1	2	-2812	25324	-71211088	45001	-126542812	25324,45001,71211088,126542812	0
1	2	-2770	24946	-69100420	44329	-122791330	24946,44329,69100420,122791330	0
1	2	-2727	24559	-66972393	43641	-119009007	24559,43641,66972393,119009007	0
1	2	-2669	24037	-64154753	42713	-114000997	24037,42713,64154753,114000997	0
1	2	-2604	23452	-61069008	41673	-108516492	23452,41673,61069008,108516492	0
1	2	-2575	3313	-8530975	5887	-15159025	3313,5887,8530975,15159025	0
1	2	-2496	4496	-11222016	7989	-19940544	4496,7989,11222016,19940544	0
1	2	-2493	22453	-55975329	39897	-99463221	22453,39897,55975329,99463221	0
1	2	-2431	4379	-10645349	7781	-18915611	4379,7781,10645349,18915611	0
1	2	-2430	21886	-53182980	38889	-94500270	21886,38889,53182980,94500270	0
1	2	-2328	20968	-48813504	37257	-86734296	20968,37257,48813504,86734296	0
1	2	-2263	20383	-46126729	36217	-81959071	20383,36217,46126729,81959071	0
1	2	-2233	20113	-44912329	35737	-79800721	20113,35737,44912329,79800721	0
1	2	-2183	2809	-6132047	4991	-10895353	2809,4991,6132047,10895353	0
1	2	-2132	19204	-40942928	34121	-72745972	19204,34121,40942928,72745972	0
1	2	-2090	18826	-39346340	33449	-69908410	18826,33449,39346340,69908410	0
1	2	-1915	17251	-33035665	30649	-58692835	17251,30649,33035665,58692835	0
1	2	-1769	15937	-28192553	28313	-50085697	15937,28313,28192553,50085697	0
1	2	-1768	15928	-28160704	28297	-50029096	15928,28297,28160704,50029096	0
1	2	-1739	15667	-27244913	27833	-48401587	15667,27833,27244913,48401587	0
1	2	-1690	15226	-25731940	27049	-45712810	15226,27049,25731940,45712810	0
1	2	-1681	3029	-5091749	5381	-9045461	3029,5381,5091749,9045461	0
1	2	-1677	15109	-25337793	26841	-45012357	15109,26841,25337793,45012357	0
1	2	-1655	14911	-24677705	26489	-43839295	14911,26489,24677705,43839295	0
1	2	-1624	14632	-23762368	25993	-42212632	14632,25993,23762368,42212632	0
1	2	-1603	14443	-23152129	25657	-41128171	14443,25657,23152129,41128171	0
1	2	-1561	2813	-4391093	4997	-7800317	2813,4997,4391093,7800317	0
1	2	-1481	2669	-3952789	4741	-7021421	2669,4741,3952789,7021421	0
1	2	-1473	13273	-19551129	23577	-34728921	13273,23577,19551129,34728921	0
1	2	-1416	2552	-3613632	4533	-6418728	2552,4533,3613632,6418728	0
1	2	-1349	12157	-16399793	21593	-29128957	12157,21593,16399793,29128957	0
1	2	-1226	442	-541892	785	-962410	442,785,541892,962410	0
1	2	-1154	1486	-1714844	2639	-3045406	1486,2639,1714844,3045406	0
1	2	-1096	1976	-2165696	3509	-3845864	1976,3509,2165696,3845864	0
1	2	-1044	9412	-9826128	16713	-17448372	9412,16713,9826128,17448372	0
1	2	-1039	9367	-9732313	16633	-17281687	9367,16633,9732313,17281687	0
1	2	-1001	361	-361361	641	-641641	361,641,361361,641641	0
1	2	-910	8206	-7467460	14569	-13257790	8206,14569,7467460,13257790	0
1	2	-898	8098	-7272004	14377	-12910546	8098,14377,7272004,12910546	0
1	2	-885	7981	-7063185	14169	-12539565	7981,14169,7063185,12539565	0
1	2	-881	227	-199987	403	-355043	227,403,199987,355043	0
1	2	-725	6541	-4742225	11609	-8416525	6541,11609,4742225,8416525	0
1	2	-637	5749	-3662113	10201	-6498037	5749,10201,3662113,6498037	0
1	2	-610	5506	-3358660	9769	-5959090	5506,9769,3358660,5959090	0
1	2	-517	667	-344839	1183	-611611	667,1183,344839,611611	0
1	2	-495	4471	-2213145	7929	-3924855	4471,7929,2213145,3924855	0
1	2	-363	469	-170247	831	-301653	469,831,170247,301653	0
1	2	-342	442	-151164	783	-267786	442,783,151164,267786	0
1	2	-313	2833	-886729	5017	-1570321	2833,5017,886729,1570321	0
1	2	-260	2356	-612560	4169	-1083940	2356,4169,612560,1083940	0
1	2	-218	1978	-431204	3497	-762346	1978,3497,431204,762346	0
1	2	-117	1069	-125073	1881	-220077	1069,1881,125073,220077	0
1	2	-53	493	-26129	857	-45421	493,857,26129,45421	0
1	2	-52	484	-25168	841	-43732	484,841,25168,43732	0
1	2	14	22	308	43	602	22,43,308,602	1
1	2	224	80	17920	143	32032	80,143,17920,32032	0
1	2	237	2117	501729	3783	896571	2117,3783,501729,896571	0
1	2	246	314	77244	561	138006	314,561,77244,138006	0
1	2	289	517	149413	923	266747	517,923,149413,266747	0
1	2	308	2756	848848	4919	1515052	2756,4919,848848,1515052	0
1	2	325	2909	945425	5191	1687075	2909,5191,945425,1687075	0
1	2	494	886	437684	1579	780026	886,1579,437684,780026	0
1	2	586	5258	3081188	9367	5489062	5258,9367,3081188,5489062	0
1	2	598	5366	3208868	9559	5716282	5366,9559,3208868,5716282	0
1	2	607	5447	3306329	9703	5889721	5447,9703,3306329,5889721	0
1	2	666	854	568764	1521	1012986	854,1521,568764,1012986	0
1	2	859	1543	1325437	2747	2359673	1543,2747,1325437,2359673	0
1	2	913	8201	7487513	14599	13328887	8201,14599,7487513,13328887	0
1	2	971	8723	8470033	15527	15076717	8723,15527,8470033,15076717	0
1	2	1145	10289	11780905	18311	20966095	10289,18311,11780905,20966095	0
1	2	1247	1601	1996447	2849	3552703	1601,2849,1996447,3552703	0
1	2	1290	11594	14956260	20631	26613990	11594,20631,14956260,26613990	0
1	2	1355	12179	16502545	21671	29364205	12179,21671,16502545,29364205	0
1	2	1392	12512	17416704	22263	30990096	12512,22263,17416704,30990096	0
1	2	1456	13088	19056128	23287	33905872	13088,23287,19056128,33905872	0
1	2	1507	13547	20415329	24103	36323221	13547,24103,20415329,36323221	0
1	2	1572	14132	22215504	25143	39524796	14132,25143,22215504,39524796	0
1	2	1595	14339	22870705	25511	40690045	14339,25511,22870705,40690045	0
1	2	1652	14852	24535504	26423	43650796	14852,26423,24535504,43650796	0
1	2	1667	2141	3569047	3809	6349603	2141,3809,3569047,6349603	0
1	2	1920	17264	33146880	30711	58965120	17264,30711,33146880,58965120	0
1	2	1972	17732	34967504	31543	62202796	17732,31543,34967504,62202796	0
1	2	2015	18119	36509785	32231	64945465	18119,32231,36509785,64945465	0
1	2	2118	19046	40339428	33879	71755722	19046,33879,40339428,71755722	0
1	2	2167	19487	42228329	34663	75114721	19487,34663,42228329,75114721	0
1	2	2210	19874	43921540	35351	78125710	19874,35351,43921540,78125710	0
1	2	2239	4027	9016453	7163	16037957	4027,7163,9016453,16037957	0
1	2	2261	20333	45972913	36167	81773587	20333,36167,45972913,81773587	0
1	2	2349	845	1984905	1503	3530547	845,1503,1984905,3530547	0
1	2	2354	4234	9966836	7531	17727974	4234,7531,9966836,17727974	0
1	2	2479	637	1579123	1133	2808707	637,1133,1579123,2808707	0
1	2	2508	22556	56570448	40119	100618452	22556,40119,56570448,100618452	0
1	2	2551	22943	58527593	40807	104098657	22943,40807,58527593,104098657	0
1	2	2653	23861	63303233	42439	112590667	23861,42439,63303233,112590667	0
1	2	2666	23978	63925348	42647	113696902	23978,42647,63925348,113696902	0
1	2	2756	24788	68315728	44087	121503772	24788,44087,68315728,121503772	0
1	2	2783	25031	69661273	44519	123896377	25031,44519,69661273,123896377	0
1	2	2921	26273	76743433	46727	136489567	26273,46727,76743433,136489567	0
1	2	2976	3824	11380224	6801	20239776	3824,6801,11380224,20239776	0
1	2	3159	5683	17952597	10107	31928013	5683,10107,17952597,31928013	0
1	2	3160	28424	89819840	50551	159741160	28424,50551,89819840,159741160	0
1	2	3211	28883	92743313	51367	164939437	28883,51367,92743313,164939437	0
1	2	3225	29009	93554025	51591	166380975	29009,51591,93554025,166380975	0
1	2	3246	29198	94776708	51927	168555042	29198,51927,94776708,168555042	0
1	2	3324	1196	3975504	2127	7070148	1196,2127,3975504,7070148	0
1	2	3394	6106	20723764	10859	36855446	6106,10859,20723764,36855446	0
1	2	3420	30764	105212880	54711	187111620	30764,54711,105212880,187111620	0
1	2	3510	31574	110824740	56151	197090010	31574,56151,110824740,197090010	0
1	2	3552	31952	113493504	56823	201835296	31952,56823,113493504,201835296	0
1	2	3565	32069	114325985	57031	203315515	32069,57031,114325985,203315515	0
1	2	3597	32357	116388129	57543	206982171	32357,57543,116388129,206982171	0
1	2	3610	32474	117231140	57751	208481110	32474,57751,117231140,208481110	0
1	2	3614	6502	23498228	11563	41788682	6502,11563,23498228,41788682	0
1	2	3688	33176	122353088	58999	217588312	33176,58999,122353088,217588312	0
1	2	3717	33437	124285329	59463	221023971	33437,59463,124285329,221023971	0
1	2	3740	33644	125828560	59831	223767940	33644,59831,125828560,223767940	0
1	2	3797	34157	129694129	60743	230641171	34157,60743,129694129,230641171	0
1	2	3862	34742	134173604	61783	238605946	34742,61783,134173604,238605946	0
1	2	3875	34859	135078625	61991	240215125	34859,61991,135078625,240215125	0
1	2	4030	36254	146103620	64471	259818130	36254,64471,146103620,259818130	0
1	2	4081	36713	149825753	65287	266436247	36713,65287,149825753,266436247	0
1	2	4124	212	874288	377	1554748	212,377,874288,1554748	0
1	2	4147	37307	154712129	66343	275124421	37307,66343,154712129,275124421	0
1	2	4182	37622	157335204	66903	279788346	37622,66903,157335204,279788346	0
1	2	4226	38018	160664068	67607	285707182	38018,67607,160664068,285707182	0
1	2	4234	7618	32254612	13547	57357998	7618,13547,32254612,57357998	0
1	2	4355	5597	24374935	9953	43345315	5597,9953,24374935,43345315	0
1	2	4368	39296	171644928	69879	305231472	39296,69879,171644928,305231472	0
1	2	4371	39323	171880833	69927	305650917	39323,69927,171880833,305650917	0
1	2	4380	39404	172589520	70071	306910980	39404,70071,172589520,306910980	0
1	2	4455	40079	178551945	71271	317512305	40079,71271,178551945,317512305	0
1	2	4494	8086	36338484	14379	64619226	8086,14379,36338484,64619226	0
1	2	4524	1628	7365072	2895	13096980	1628,2895,7365072,13096980	0
1	2	4588	41276	189374288	73399	336754612	41276,73399,189374288,336754612	0
1	2	4641	41753	193775673	74247	344580327	41753,74247,193775673,344580327	0
1	2	4670	6002	28029340	10673	49842910	6002,10673,28029340,49842910	0
1	2	4732	42572	201450704	75703	358226596	42572,75703,201450704,358226596	0
1	2	4741	42653	202217873	75847	359590627	42653,75847,202217873,359590627	0
1	2	4774	1718	8201732	3055	14584570	1718,3055,8201732,14584570	0
1	2	4806	43238	207801828	76887	369518922	43238,76887,207801828,369518922	0
1	2	4819	8671	41785549	15419	74304161	8671,15419,41785549,74304161	0
1	2	4930	44354	218665220	78871	388834030	44354,78871,218665220,388834030	0
1	2	5031	45263	227718153	80487	404930097	45263,80487,227718153,404930097	0
1	2	5044	9076	45779344	16139	81405116	9076,16139,45779344,81405116	0
1	2	5060	45524	230351440	80951	409612060	45524,80951,230351440,409612060	0
1	2	5125	6587	33758375	11713	60029125	6587,11713,33758375,60029125	0
1	2	5161	46433	239640713	82567	426128287	46433,82567,239640713,426128287	0
1	2	5196	46748	242902608	83127	431927892	46748,83127,242902608,431927892	0
1	2	5279	1357	7163603	2413	12738227	1357,2413,7163603,12738227	0
1	2	5370	6902	37063740	12273	65906010	6902,12273,37063740,65906010	0
1	2	5383	48431	260704073	86119	463578577	48431,86119,260704073,463578577	0
1	2	5424	1952	10587648	3471	18826704	1952,3471,10587648,18826704	0
1	2	5511	49583	273251913	88167	485888337	49583,88167,273251913,485888337	0
1	2	5528	49736	274940608	88439	488890792	49736,88439,274940608,488890792	0
1	2	5537	49817	275836729	88583	490484071	49817,88583,275836729,490484071	0
1	2	5567	50087	278834329	89063	495813721	50087,89063,278834329,495813721	0
1	2	5602	50402	282352004	89623	502068046	50402,89623,282352004,502068046	0
1	2	5625	50609	284675625	89991	506199375	50609,89991,284675625,506199375	0
1	2	5888	7568	44560384	13457	79234816	7568,13457,44560384,79234816	0
1	2	5966	53678	320242948	95447	569436802	53678,95447,320242948,569436802	0
1	2	6067	54587	331179329	97063	588881221	54587,97063,331179329,588881221	0
1	2	6096	54848	334353408	97527	594524592	54848,97527,334353408,594524592	0
1	2	6137	55217	338866729	98183	602549071	55217,98183,338866729,602549071	0
1	2	6162	55442	341633604	98583	607468446	55442,98583,341633604,607468446	0
1	2	6240	56144	350338560	99831	622945440	56144,99831,350338560,622945440	0
1	2	6241	56153	350450873	99847	623145127	56153,99847,350450873,623145127	0
1	2	6249	2249	14054001	3999	24989751	2249,3999,14054001,24989751	0
1	2	6282	56522	355071204	100503	631359846	56522,100503,355071204,631359846	0
1	2	6291	56603	356089473	100647	633170277	56603,100647,356089473,633170277	0
1	2	6293	56621	356315953	100679	633572947	56621,100679,356315953,633572947	0
1	2	6369	11461	72995109	20379	129793851	11461,20379,72995109,129793851	0
1	2	6408	57656	369459648	102519	656941752	57656,102519,369459648,656941752	0
1	2	6436	57908	372695888	102967	662695612	57908,102967,372695888,662695612	0
1	2	6525	8387	54725175	14913	97307325	8387,14913,54725175,97307325	0
1	2	6555	58979	386607345	104871	687429405	58979,104871,386607345,687429405	0
