-1|0|[2, 4]|1|[2, 4]|1|4|16*x^6 + 32*x^5 + 56*x^4 + 32*x^3 + 17*x^2 + 6*x + 1|4368*x^6 + 5600*x^5 + 2744*x^4 - 112*x^3 - 343*x^2 - 42*x + 91
-4|0|[2, 4]|1|[2, 4]|1|4|102400*x^6 + 204800*x^5 - 539520*x^4 + 204800*x^3 + 1852729*x^2 - 4347378*x + 1750329|-77954722918400*x^6 - 1017215437004800*x^5 - 1430907246199680*x^4 + 6524163840012800*x^3 + 4693150465423561*x^2 - 17274319848970002*x + 8589425206661271
-5|1|[2, 4]|1|[2, 4]|1|4|16*x^6 + 32*x^5 - 456*x^4 + 32*x^3 + 3985*x^2 - 8442*x + 3969|-7280*x^6 - 136864*x^5 - 279240*x^4 + 2495792*x^3 + 2501473*x^2 - 18763290*x + 16872219
-5|0|[2, 4]|1|[2, 4]|1|4|6561*x^6 + 13122*x^5 - 377217*x^4 + 13122*x^3 + 6009061*x^2 - 12401900*x + 6002500|21443499096021*x^6 + 59877896217192*x^5 - 1038738598415127*x^4 + 315403449835212*x^3 + 16148266131413236*x^2 - 46148288912734400*x + 37991690093840000
-6|1|[2, 4]|1|[1, 1, 4]|1|4|256*x^6 + 512*x^5 + 992*x^4 + 512*x^3 + 305*x^2 + 126*x + 49|-3072*x^6 + 11264*x^5 - 7552*x^4 - 12352*x^3 + 7604*x^2 + 8736*x + 1813
-6|0|[2, 4]|1|[2, 4]|1|4|12100000000*x^6 + 24200000000*x^5 + 37080780000*x^4 + 24200000000*x^3 + 12112595401*x^2 + 755589198*x + 12595401|33635197699096400000000*x^6 + 15916605998994800000000*x^5 + 7544710940284829520000*x^4 + 23999662497072189400000*x^3 + 16958749428262308666484*x^2 + 1108051454886038422032*x + 28230312839643441891
-7|1|[2, 4]|1|[2, 4]|1|4|6561*x^6 + 13122*x^5 + 226071*x^4 + 13122*x^3 + 1629637*x^2 - 3039764*x + 1623076|16993888857*x^6 + 118475913600*x^5 + 926866965321*x^4 - 1762156742148*x^3 + 4399689524868*x^2 - 13255586311968*x - 4608003656256
-7|0|[2, 4]|1|[2, 4]|1|4|37896336*x^6 + 75792672*x^5 + 96522989688*x^4 + 75792672*x^3 + 61317003061561*x^2 - 122537521029770*x + 61316965165225|57632309274189641887976976*x^6 + 200304489757693270541576544*x^5 + 151424611034232594828734602488*x^4 - 43165744667830665909235278864*x^3 + 94267756202807135591487258023241*x^2 - 189959175490085691157782517542570*x - 93962900517258544955890510482525
-8|1|[2, 4]|1|[2, 4]|1|4|1600000000*x^6 + 3200000000*x^5 + 5305680000*x^4 + 3200000000*x^3 + 1639955041*x^2 + 425769918*x + 39955041|40157609000000000000*x^6 + 37028456720000000000*x^5 + 3606692686050000000*x^4 - 4976830552424000000*x^3 - 34147106850674375*x^2 + 777416162762100750*x + 329621946486196455
-8|0|[2, 4]|1|[2, 4]|1|-4|65647407306250000*x^6 + 131294814612500000*x^5 + 209757707296445000*x^4 + 131294814612500000*x^3 + 66272857237196009*x^2 + 11564585515802982*x + 625449930946009|-54840310041126770361197644183593750000*x^6 - 111751153871845966963165873812812500000*x^5 - 104293559216092245077744630624996875000*x^4 + 129533413029868169911986463799174750000*x^3 + 184941437028379069038091734511694875625*x^2 + 38162841727322493816341489793516021750*x + 2159228609953903557376084738479089545
