torsion_coset	m_residue	m_modulus	n_residue	n_modulus
2	600	624	1393	4368
2	600	624	2017	4368
2	120	624	3649	4368
2	120	624	2401	4368
2	120	624	3025	4368
2	504	624	1969	4368
2	504	624	721	4368
2	504	624	1345	4368
2	24	624	2977	4368
2	24	624	1729	4368
2	24	624	2353	4368
3	356	624	2570	4368
3	20	624	218	4368
3	596	624	4250	4368
3	308	624	2234	4368
3	260	624	1898	4368
3	68	624	554	4368
3	44	624	386	4368
3	332	624	2402	4368
3	284	624	2066	4368
3	620	624	50	4368
3	572	624	4082	4368
3	380	624	2738	4368
4	180	624	1885	4368
4	180	624	1261	4368
4	180	624	637	4368
4	516	624	2557	4368
4	516	624	1933	4368
4	516	624	1309	4368
4	612	624	3229	4368
4	612	624	2605	4368
4	612	624	1981	4368
4	180	624	205	4368
4	180	624	3949	4368
4	180	624	3325	4368
4	468	624	2221	4368
4	468	624	1597	4368
4	468	624	973	4368
4	372	624	1549	4368
4	372	624	925	4368
4	372	624	301	4368
4	132	624	1549	4368
4	132	624	925	4368
4	132	624	301	4368
4	468	624	3901	4368
4	468	624	3277	4368
4	468	624	2653	4368
4	36	624	877	4368
4	36	624	253	4368
4	36	624	3997	4368
4	276	624	2557	4368
4	276	624	1933	4368
4	276	624	1309	4368
4	492	624	4069	4368
4	492	624	3445	4368
4	492	624	2821	4368
4	204	624	373	4368
4	204	624	4117	4368
4	204	624	3493	4368
4	300	624	1045	4368
4	300	624	421	4368
4	300	624	4165	4368
4	492	624	2389	4368
4	492	624	1765	4368
4	492	624	1141	4368
4	156	624	37	4368
4	156	624	3781	4368
4	156	624	3157	4368
4	60	624	3733	4368
4	60	624	3109	4368
4	60	624	2485	4368
4	444	624	3733	4368
4	444	624	3109	4368
4	444	624	2485	4368
4	156	624	1717	4368
4	156	624	1093	4368
4	156	624	469	4368
4	348	624	3061	4368
4	348	624	2437	4368
4	348	624	1813	4368
4	588	624	373	4368
4	588	624	4117	4368
4	588	624	3493	4368
4	336	624	2977	4368
4	336	624	2353	4368
4	336	624	1729	4368
4	48	624	3649	4368
4	48	624	3025	4368
4	48	624	2401	4368
4	144	624	4321	4368
4	144	624	3697	4368
4	144	624	3073	4368
4	336	624	1297	4368
4	336	624	673	4368
4	336	624	49	4368
4	0	624	3313	4368
4	0	624	2689	4368
4	0	624	2065	4368
4	528	624	2641	4368
4	528	624	2017	4368
4	528	624	1393	4368
4	288	624	2641	4368
4	288	624	2017	4368
4	288	624	1393	4368
4	0	624	625	4368
4	0	624	1	4368
4	0	624	3745	4368
4	192	624	1969	4368
4	192	624	1345	4368
4	192	624	721	4368
4	432	624	3649	4368
4	432	624	3025	4368
4	432	624	2401	4368
4	492	624	1885	4368
4	492	624	1261	4368
4	492	624	637	4368
4	204	624	2557	4368
4	204	624	1933	4368
4	204	624	1309	4368
4	300	624	3229	4368
4	300	624	2605	4368
4	300	624	1981	4368
4	492	624	205	4368
4	492	624	3949	4368
4	492	624	3325	4368
4	156	624	2221	4368
4	156	624	1597	4368
4	156	624	973	4368
4	60	624	1549	4368
4	60	624	925	4368
4	60	624	301	4368
4	444	624	1549	4368
4	444	624	925	4368
4	444	624	301	4368
4	156	624	3901	4368
4	156	624	3277	4368
4	156	624	2653	4368
4	348	624	877	4368
4	348	624	253	4368
4	348	624	3997	4368
4	588	624	2557	4368
4	588	624	1933	4368
4	588	624	1309	4368
4	24	624	2977	4368
4	24	624	2353	4368
4	24	624	1729	4368
4	360	624	3649	4368
4	360	624	3025	4368
4	360	624	2401	4368
4	456	624	4321	4368
4	456	624	3697	4368
4	456	624	3073	4368
4	24	624	1297	4368
4	24	624	673	4368
4	24	624	49	4368
4	312	624	3313	4368
4	312	624	2689	4368
4	312	624	2065	4368
4	216	624	2641	4368
4	216	624	2017	4368
4	216	624	1393	4368
4	600	624	2641	4368
4	600	624	2017	4368
4	600	624	1393	4368
4	312	624	625	4368
4	312	624	1	4368
4	312	624	3745	4368
4	504	624	1969	4368
4	504	624	1345	4368
4	504	624	721	4368
4	120	624	3649	4368
4	120	624	3025	4368
4	120	624	2401	4368
4	24	624	793	4368
4	24	624	169	4368
4	24	624	3913	4368
4	360	624	1465	4368
4	360	624	841	4368
4	360	624	217	4368
4	456	624	2137	4368
4	456	624	1513	4368
4	456	624	889	4368
4	24	624	3481	4368
4	24	624	2857	4368
4	24	624	2233	4368
4	312	624	1129	4368
4	312	624	505	4368
4	312	624	4249	4368
4	216	624	457	4368
4	216	624	4201	4368
4	216	624	3577	4368
4	600	624	457	4368
4	600	624	4201	4368
4	600	624	3577	4368
4	312	624	2809	4368
4	312	624	2185	4368
4	312	624	1561	4368
4	504	624	4153	4368
4	504	624	3529	4368
4	504	624	2905	4368
4	120	624	1465	4368
4	120	624	841	4368
4	120	624	217	4368
4	180	624	4069	4368
4	180	624	3445	4368
4	180	624	2821	4368
4	516	624	373	4368
4	516	624	4117	4368
4	516	624	3493	4368
4	612	624	1045	4368
4	612	624	421	4368
4	612	624	4165	4368
4	180	624	2389	4368
4	180	624	1765	4368
4	180	624	1141	4368
4	468	624	37	4368
4	468	624	3781	4368
4	468	624	3157	4368
4	372	624	3733	4368
4	372	624	3109	4368
4	372	624	2485	4368
4	132	624	3733	4368
4	132	624	3109	4368
4	132	624	2485	4368
4	468	624	1717	4368
4	468	624	1093	4368
4	468	624	469	4368
4	36	624	3061	4368
4	36	624	2437	4368
4	36	624	1813	4368
4	276	624	373	4368
4	276	624	4117	4368
4	276	624	3493	4368
4	336	624	793	4368
4	336	624	169	4368
4	336	624	3913	4368
4	48	624	1465	4368
4	48	624	841	4368
4	48	624	217	4368
4	144	624	2137	4368
4	144	624	1513	4368
4	144	624	889	4368
4	336	624	3481	4368
4	336	624	2857	4368
4	336	624	2233	4368
4	0	624	1129	4368
4	0	624	505	4368
4	0	624	4249	4368
4	528	624	457	4368
4	528	624	4201	4368
4	528	624	3577	4368
4	288	624	457	4368
4	288	624	4201	4368
4	288	624	3577	4368
4	0	624	2809	4368
4	0	624	2185	4368
4	0	624	1561	4368
4	192	624	4153	4368
4	192	624	3529	4368
4	192	624	2905	4368
4	432	624	1465	4368
4	432	624	841	4368
4	432	624	217	4368
