m	n	torsion_coset
-72233697	0	2
-72179097	0	2
-71878797	0	2
-71633097	0	2
-71152617	0	2
-70677597	0	2
-70311777	0	2
-69951417	0	2
-69896817	0	2
-69656577	0	2
-69350817	0	2
-68930397	0	2
-68755677	0	2
-68455377	0	2
-68209677	0	2
-68029497	0	2
-67794717	0	2
-67729197	0	2
-67374297	0	2
-67254177	0	2
-66653577	0	2
-66527997	0	2
-66173097	0	2
-65747217	0	2
-65506977	0	2
-65092017	0	2
-64971897	0	2
-64606077	0	2
-64371297	0	2
-64305777	0	2
-64191117	0	2
-63950877	0	2
-63890817	0	2
-63645117	0	2
-63224697	0	2
-63104577	0	2
-63049977	0	2
-62749677	0	2
-62689617	0	2
-62503977	0	2
-62089017	0	2
-62023497	0	2
-61548477	0	2
-60942417	0	2
-60822297	0	2
-60767697	0	2
-60221697	0	2
-60041517	0	2
-59801277	0	2
-59741217	0	2
-59386317	0	2
-58900377	0	2
-58665597	0	2
-58600077	0	2
-58540017	0	2
-58485417	0	2
-58245177	0	2
-58185117	0	2
-57939417	0	2
-57398877	0	2
-57043977	0	2
-56983917	0	2
-56618097	0	2
-55962897	0	2
-55842777	0	2
-55242177	0	2
-55236717	0	2
-55061997	0	2
-54761697	0	2
-54515997	0	2
-54335817	0	2
-54095577	0	2
-54035517	0	2
-53680617	0	2
-53560497	0	2
-52959897	0	2
-52894377	0	2
-52834317	0	2
-52479417	0	2
-51813297	0	2
-51693177	0	2
-51638577	0	2
-51278217	0	2
-51092577	0	2
-50912397	0	2
-50677617	0	2
-50612097	0	2
-50257197	0	2
-49536477	0	2
-49531017	0	2
-49410897	0	2
-49356297	0	2
-49055997	0	2
-48810297	0	2
-48329817	0	2
-47854797	0	2
-47488977	0	2
-47128617	0	2
-47074017	0	2
-46833777	0	2
-46528017	0	2
-46107597	0	2
-45932877	0	2
-45632577	0	2
-45386877	0	2
-45206697	0	2
-44971917	0	2
-44906397	0	2
-44551497	0	2
-44431377	0	2
-43830777	0	2
-43705197	0	2
-43350297	0	2
-42924417	0	2
-42684177	0	2
-42269217	0	2
-42149097	0	2
-41783277	0	2
-41548497	0	2
-41482977	0	2
-41368317	0	2
-41128077	0	2
-41068017	0	2
-40822317	0	2
-40401897	0	2
-40281777	0	2
-40227177	0	2
-39926877	0	2
-39866817	0	2
-39681177	0	2
-39266217	0	2
-39200697	0	2
-38725677	0	2
-38119617	0	2
-37999497	0	2
-37944897	0	2
-37398897	0	2
-37218717	0	2
-36978477	0	2
-36918417	0	2
-36563517	0	2
-36077577	0	2
