BASE (-1/2,1/2) s=145/256 t=-5/4 route=PS gens=4
BASE (-1/2,1/2) zvals=24
MEMBER (-1/2,1/2) v=36864/21025 route=PS tors=[ 4, 4 ] D1=105199718001 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 d=[ 1, 1, 105199718001, 1463 ] lam2ok=true def=[ 89617044397281, 395637 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ 7856882237380607466787053208752503164383946675268318093905560961, 4084752640255207939642309730229081710 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ 7856882237380607466787053208752503164383946675268318093905560961, 4084752640255207939642309730229081710 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ 142023699507694949729912983769681564459075811128641, 3615536007761590101 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ 93221273821469583050516323524520561, 498232049268897823110 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ 142023699507694949729912983769681564459075811128641, 107949575088881761587 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, -363402320759235906844046605626239, 1463 ] lam2ok=true def=[ -181347688643950910273170640093039, 122940375793624138170 ] compat=false
MEMBER (-1/2,1/2) v=-20772880384/4284879775 route=PS tors=[ 4, 4 ] D1=138849169301362 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 8488089782227429297509733886188006, 18729218681614653917377211 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 8488089782227429297509733886188006, 18729218681614653917377211 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 662015022027642618253, 25749542394807 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 6546251018757 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 2191727255585082826, 6353783188329 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 26529543602331 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 294641053804414309979275716866118408569100966043, 18729218681614653917377211 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 294641053804414309979275716866118408569100966043, 18729218681614653917377211 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 662015022027642618253, 25749542394807 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 26529543602331 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 2191727255585082826, 6353783188329 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 6546251018757 ] compat=false
MEMBER (-1/2,1/2) v=5308416/3679375 route=PS tors=[ 4, 4 ] D1=195467041 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T1 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 5819121135555089089, 339085676930 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 5819121135555089089, 339085676930 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 109841641, 12722970 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 794161715809, 86590581 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 886612441, 51561510 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 794161715809, 59187 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 1300398415107649, 339085676930 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 1300398415107649, 339085676930 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 109841641, 12722970 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 794161715809, 59187 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 886612441, 51561510 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 195467041, 1463 ] lam2ok=true def=[ 794161715809, 86590581 ] compat=false
MEMBER (-1/2,1/2) v=-14910926468013367558144/400203601964815002849 route=PS tors=[ 4, 4 ] D1=376210215706355381036786871414597540690882251710879097475129067847964791676961 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 1093405582614736814890824275391005700940630479485764253206399687303996131017161, 1877076164371494981286354377054292882339110 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 1093405582614736814890824275391005700940630479485764253206399687303996131017161, 1877076164371494981286354377054292882339110 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 39993771320295950876863191369975488267475977666065840746230795367586448589115946296184483263589636333890421375297160109673636693984801105249466701394996777415489, 115332267473786746941670989099188853460428676811786904602938905291016025845902910 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 2041419553630149829434852761900439884699983368419294569201038847622396927144796537886019968067874339347968787187338689, 2241034638320792364617066449260628323507 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 1317491636415000467650703361971084529668531638273025007231876729720390798860400281761678185901474997903167453003136458526699467712248910741409986002369, 115332267473786746941670989099188853460428676811786904602938905291016025845902910 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 2041419553630149829434852761900439884699983368419294569201038847622396927144796537886019968067874339347968787187338689, 3278633675863319229434768215268299237290741 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 227189956018948327806835903530795687877158340735835022673837943415678703616761, 463174637961797462914814716415994347590170 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 227189956018948327806835903530795687877158340735835022673837943415678703616761, 463174637961797462914814716415994347590170 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 39993771320295950876863191369975488267475977666065840746230795367586448589115946296184483263589636333890421375297160109673636693984801105249466701394996777415489, 115332267473786746941670989099188853460428676811786904602938905291016025845902910 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 2041419553630149829434852761900439884699983368419294569201038847622396927144796537886019968067874339347968787187338689, 3278633675863319229434768215268299237290741 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 1317491636415000467650703361971084529668531638273025007231876729720390798860400281761678185901474997903167453003136458526699467712248910741409986002369, 115332267473786746941670989099188853460428676811786904602938905291016025845902910 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 2041419553630149829434852761900439884699983368419294569201038847622396927144796537886019968067874339347968787187338689, 2241034638320792364617066449260628323507 ] compat=false
MEMBER (-1/2,1/2) v=35211771904/30563735825 route=PS tors=[ 4, 4 ] D1=138849169301362 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 294641053804414309979275716866118408569100966043, 18729218681614653917377211 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 294641053804414309979275716866118408569100966043, 18729218681614653917377211 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 662015022027642618253, 25749542394807 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 6546251018757 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 2191727255585082826, 6353783188329 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 26529543602331 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 8488089782227429297509733886188006, 18729218681614653917377211 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 8488089782227429297509733886188006, 18729218681614653917377211 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 662015022027642618253, 25749542394807 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 26529543602331 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 2191727255585082826, 6353783188329 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 138849169301362, 1463 ] lam2ok=true def=[ 374301364779552940347617665471, 6546251018757 ] compat=false
MEMBER (-1/2,1/2) v=1122165959889120847200256/716315646607619798162225 route=PS tors=[ 4, 4 ] D1=376210215706355381036786871414597540690882251710879097475129067847964791676961 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 227189956018948327806835903530795687877158340735835022673837943415678703616761, 463174637961797462914814716415994347590170 ] compat=false
  D4 above=T2 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 227189956018948327806835903530795687877158340735835022673837943415678703616761, 463174637961797462914814716415994347590170 ] compat=false
  D4 above=T3 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 2041419553630149829434852761900439884699983368419294569201038847622396927144796537886019968067874339347968787187338689, 3278633675863319229434768215268299237290741 ] compat=false
  D4 above=T1 pat=111 d=[ 1, 1, 376210215706355381036786871414597540690882251710879097475129067847964791676961, 1463 ] lam2ok=true def=[ 1317491636415000467650703361971084529668531638273025007231876729720390798860400281761678185901474997903167453003136458526699467712248910741409986002369, 115332267473786746941670989099188853460428676811786904602938905291016025845902910 ] compat=false
