p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	18	39	57	46	1	15	13	18	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	18	39	57	46	2	15	18	13	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	18	39	57	46	3	13	18	15	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	18	39	4	15	1	46	48	43	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	18	39	4	15	2	46	43	48	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	18	39	4	15	3	48	43	46	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	39	18	57	46	1	15	18	13	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	39	18	57	46	2	15	13	18	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	7	38	18	2	13	35	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	23	5	10	50	52	42	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	25	58	60	32	19	14	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	26	3	48	26	60	31	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	29	39	30	31	17	7	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	38	54	26	59	3	8	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	43	60	27	10	45	49	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	56	45	43	30	45	7	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	58	22	59	6	59	60	12	24	2
61	2	39	18	57	46	3	18	13	15	51	17	29	4	4	22	59	60	22	10	43	9	20	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	39	18	4	15	1	46	43	48	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	39	18	4	15	2	46	48	43	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	2	24	7	7	58	17	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	4	8	60	38	4	2	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	5	25	12	18	48	21	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	18	28	14	2	53	32	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	34	44	38	50	28	59	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	38	7	52	43	36	31	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	42	39	26	30	18	57	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	48	52	38	54	33	12	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	51	9	54	11	25	38	12	24	2
61	2	39	18	4	15	3	43	48	46	10	28	48	36	19	55	40	58	57	43	21	21	27	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	1	45	11	33	51	17	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	7	46	49	55	23	9	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	9	15	51	6	12	60	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	9	23	18	2	49	1	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	15	59	58	26	45	31	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	20	10	54	8	46	33	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	22	14	4	11	47	9	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	28	48	7	37	25	29	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	29	33	29	50	49	9	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	33	17	33	10	22	7	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	37	40	10	31	16	15	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	41	19	19	54	32	6	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	46	39	23	23	59	50	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	48	54	45	51	48	39	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	53	57	38	10	52	15	12	24	2
61	3	4	56	13	41	1	40	33	35	53	8	26	55	20	52	7	60	42	46	55	36	53	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	1	45	11	33	51	17	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	7	46	49	55	23	9	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	9	15	51	6	12	60	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	9	23	18	2	49	1	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	15	59	58	26	45	31	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	20	10	54	8	46	33	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	22	14	4	11	47	9	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	28	48	7	37	25	29	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	29	33	29	50	49	9	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	33	17	33	10	22	7	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	37	40	10	31	16	15	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	41	19	19	54	32	6	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	46	39	23	23	59	50	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	48	54	45	51	48	39	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	53	57	38	10	52	15	12	24	2
61	3	4	56	13	41	2	40	35	33	53	8	26	55	20	52	7	60	42	46	55	36	53	12	24	2
61	3	4	56	13	41	3	33	35	40	53	8	26	55	20	52	7	1	45	11	33	51	17	12	24	2
61	3	4	56	13	41	3	33	35	40	53	8	26	55	20	52	7	7	46	49	55	23	9	12	24	2
61	3	4	56	13	41	3	33	35	40	53	8	26	55	20	52	7	9	15	51	6	12	60	12	24	2
