p=11 admissible a: 3/11
p=13 admissible a: 2/13
p=17 admissible a: 2/17
p=19 admissible a: 3/19
p=23 admissible a: 3/23
p=29 admissible a: 7/29
p=31 admissible a: 4/31
p=37 admissible a: 6/37
p=41 admissible a: 2/41
p=43 admissible a: 7/43
p=47 admissible a: 4/47
p=53 admissible a: 6/53
PROGRESS c9 d=22000 checked=8024712345 surv=5
PROGRESS c9 d=22200 checked=8097672661 surv=5
PROGRESS c9 d=22400 checked=8170699743 surv=5
PROGRESS c9 d=22600 checked=8243560801 surv=5
PROGRESS c9 d=22800 checked=8316481903 surv=5
PROGRESS c9 d=23000 checked=8389584517 surv=5
SURVIVOR c9 a = -186209/23001
PROGRESS c9 d=23200 checked=8462372387 surv=6
PROGRESS c9 d=23400 checked=8535413223 surv=6
PROGRESS c9 d=23600 checked=8608401057 surv=6
PROGRESS c9 d=23800 checked=8681264789 surv=6
PROGRESS c9 d=24000 checked=8754233351 surv=6
PROGRESS c9 d=24200 checked=8827257973 surv=6
PROGRESS c9 d=24400 checked=8900121161 surv=6
PROGRESS c9 d=24600 checked=8973070695 surv=6
SURVIVOR c9 a = -5155/24682
PROGRESS c9 d=24800 checked=9046172679 surv=7
PROGRESS c9 d=25000 checked=9118980435 surv=7
PROGRESS c9 d=25200 checked=9191967611 surv=7
PROGRESS c9 d=25400 checked=9265003959 surv=7
PROGRESS c9 d=25600 checked=9337780663 surv=7
PROGRESS c9 d=25800 checked=9410792883 surv=7
PROGRESS c9 d=26000 checked=9483819735 surv=7
PROGRESS c9 d=26200 checked=9556677109 surv=7
PROGRESS c9 d=26400 checked=9629664383 surv=7
PROGRESS c9 d=26600 checked=9702680999 surv=7
PROGRESS c9 d=26800 checked=9775548863 surv=7
PROGRESS c9 d=27000 checked=9848504929 surv=7
PROGRESS c9 d=27200 checked=9921591289 surv=7
PROGRESS c9 d=27400 checked=9994389073 surv=7
PROGRESS c9 d=27600 checked=10067343445 surv=7
