a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
1001	1309	2821	3689	6	143	187	-403	-527	1	0	0	0	0
1002	1503	6012	9018	6	2	3	-12	-18	1	0	0	0	0
1004	1506	6024	9036	6	2	3	-12	-18	1	0	0	0	0
1005	3216	3350	6030	6	15	48	-50	-90	0	0	0	0	0
1006	1509	6036	9054	6	2	3	-12	-18	1	0	0	0	0
1008	1050	1120	1680	6	72	75	-80	-120	0	0	0	0	0
1008	1080	5880	6300	6	84	90	-490	-525	1	0	0	0	0
1008	1092	1344	1456	6	36	39	-48	-52	1	0	0	0	0
1008	1152	1638	1872	6	56	64	-91	-104	1	0	0	0	0
1008	1302	2688	3472	6	72	93	-192	-248	1	0	0	0	0
1008	1344	1369	2352	6	1008	1344	-1369	-2352	0	0	0	0	0
1008	1344	3108	4144	6	36	48	-111	-148	1	0	0	0	0
1008	1392	3696	5104	6	63	87	-231	-319	1	0	0	0	0
1008	1449	4608	6624	6	112	161	-512	-736	1	0	0	0	0
1008	1512	6048	9072	6	2	3	-12	-18	1	0	0	0	0
1008	1764	1800	4536	6	28	49	-50	-126	0	0	0	0	0
1008	1875	1890	4410	6	336	625	-630	-1470	0	0	0	0	0
1008	2016	2058	3024	6	24	48	-49	-72	0	0	0	0	0
1008	3024	3549	4032	6	48	144	-169	-192	0	0	0	0	0
1008	3528	3600	8064	6	14	49	-50	-112	0	0	0	0	0
1008	3528	4489	4536	6	1008	3528	-4489	-4536	0	0	0	0	0
1008	4879	5054	9758	6	144	697	-722	-1394	0	0	1	0	0
1010	1515	6060	9090	6	2	3	-12	-18	1	0	0	0	0
1012	1100	1196	8788	6	253	275	-299	-2197	0	0	0	0	0
1012	1144	1150	2548	6	506	572	-575	-1274	0	0	0	0	0
1012	1288	2530	3220	6	22	28	-55	-70	1	0	0	0	0
1012	1463	4784	6916	6	1012	1463	-4784	-6916	1	0	0	0	0
1012	1488	5313	7812	6	1012	1488	-5313	-7812	1	0	0	0	0
1012	1518	6072	9108	6	2	3	-12	-18	1	0	0	0	0
1012	1978	2728	5332	6	506	989	-1364	-2666	1	0	0	0	0
1014	1152	1352	4056	6	507	576	-676	-2028	0	0	0	0	0
1014	1521	1764	9126	6	338	507	-588	-3042	0	0	0	0	0
1014	1521	6084	9126	6	2	3	-12	-18	1	0	0	0	0
1014	2106	2166	7514	6	507	1053	-1083	-3757	0	0	0	0	0
1014	4032	4914	5733	6	338	1344	-1638	-1911	0	0	0	0	0
1015	4235	4375	5075	6	29	121	-125	-145	0	0	0	0	0
1016	1184	1778	2072	6	508	592	-889	-1036	1	0	0	0	0
1016	1524	6096	9144	6	2	3	-12	-18	1	0	0	0	0
1017	2025	2825	5625	6	1017	2025	-2825	-5625	1	0	0	0	0
1018	1527	6108	9162	6	2	3	-12	-18	1	0	0	0	0
1020	1230	2040	2460	6	34	41	-68	-82	1	0	0	0	0
1020	1428	4020	5628	6	85	119	-335	-469	1	0	0	0	0
1020	1530	1632	1700	6	30	45	-48	-50	0	0	0	0	0
1020	1530	1700	6528	6	30	45	-50	-192	0	0	0	0	0
1020	1530	6120	9180	6	2	3	-12	-18	1	0	0	0	0
1020	2105	2448	5052	6	1020	2105	-2448	-5052	1	0	0	0	0
1020	3264	3400	6120	6	15	48	-50	-90	0	0	0	0	0
1022	1533	6132	9198	6	2	3	-12	-18	1	0	0	0	0
1022	2263	3388	7502	6	1022	2263	-3388	-7502	1	0	0	0	0
1022	3577	3650	8176	6	14	49	-50	-112	0	0	0	0	0
1023	1395	1595	2175	6	1023	1395	-1595	-2175	1	0	0	0	0
1024	1536	6144	9216	6	2	3	-12	-18	1	0	0	0	0
1024	1696	2656	4399	6	1024	1696	-2656	-4399	1	0	0	0	0
1024	2528	3392	8374	6	512	1264	-1696	-4187	1	0	0	0	0
1025	1225	3025	9225	6	41	49	-121	-369	0	0	0	0	0
1025	1475	4715	6785	6	205	295	-943	-1357	1	0	0	0	0
1026	1404	3591	4914	6	38	52	-133	-182	1	0	0	0	0
1026	1539	6156	9234	6	2	3	-12	-18	1	0	0	0	0
1026	3724	4104	6156	6	27	98	-108	-162	0	0	0	0	0
1028	1542	6168	9252	6	2	3	-12	-18	1	0	0	0	0
1029	5292	7098	7350	6	49	252	-338	-350	0	0	0	0	0
1030	1345	2884	3766	6	1030	1345	-2884	-3766	1	0	0	0	0
1030	1545	6180	9270	6	2	3	-12	-18	1	0	0	0	0
1030	2332	2575	5830	6	1030	2332	-2575	-5830	1	0	0	0	0
1032	1368	3096	4104	6	43	57	-129	-171	1	0	0	0	0
1032	1548	2188	3282	6	516	774	-1094	-1641	1	0	0	0	0
1032	1548	6192	9288	6	2	3	-12	-18	1	0	0	0	0
1032	1984	2709	5208	6	1032	1984	-2709	-5208	1	0	0	0	0
1032	2064	2107	3096	6	24	48	-49	-72	0	0	0	0	0
1034	1166	1598	1802	6	517	583	-799	-901	1	0	0	0	0
1034	1316	2585	3290	6	22	28	-55	-70	1	0	0	0	0
1034	1551	6204	9306	6	2	3	-12	-18	1	0	0	0	0
1034	2068	2893	5786	6	94	188	-263	-526	1	0	0	0	0
1035	1215	1863	2187	6	115	135	-207	-243	1	0	0	0	0
1035	1311	2535	3211	6	1035	1311	-2535	-3211	1	0	0	0	0
1035	3312	3450	6210	6	15	48	-50	-90	0	0	0	0	0
1036	1232	1961	2332	6	1036	1232	-1961	-2332	1	0	0	0	0
1036	1330	1480	1900	6	518	665	-740	-950	1	0	0	0	0
1036	1554	6216	9324	6	2	3	-12	-18	1	0	0	0	0
1036	1813	1850	4662	6	28	49	-50	-126	0	0	0	0	0
1036	3626	3700	8288	6	14	49	-50	-112	0	0	0	0	0
1037	1513	5185	7565	6	61	89	-305	-445	1	0	0	0	0
1038	1557	6228	9342	6	2	3	-12	-18	1	0	0	0	0
1040	1248	2040	2448	6	130	156	-255	-306	1	0	0	0	0
1040	1460	4160	5840	6	52	73	-208	-292	1	0	0	0	0
1040	1560	6240	9360	6	2	3	-12	-18	1	0	0	0	0
1040	1664	1690	3600	6	520	832	-845	-1800	0	0	0	0	0
1040	1872	1950	6240	6	40	72	-75	-240	0	0	0	0	0
1040	3185	3240	6760	6	208	637	-648	-1352	0	0	0	0	0
1040	4160	5200	5733	6	80	320	-400	-441	0	0	0	0	0
1040	5760	7800	8112	6	130	720	-975	-1014	0	0	0	0	0
1041	3234	6084	7634	6	1041	3234	-6084	-7634	0	0	0	0	0
1042	1563	6252	9378	6	2	3	-12	-18	1	0	0	0	0
1044	1131	1392	1508	6	36	39	-48	-52	1	0	0	0	0
1044	1296	1421	1764	6	1044	1296	-1421	-1764	1	0	0	0	0
1044	1296	2349	2916	6	116	144	-261	-324	1	0	0	0	0
1044	1392	3219	4292	6	36	48	-111	-148	1	0	0	0	0
1044	1506	4872	7028	6	522	753	-2436	-3514	1	0	0	0	0
1044	1566	6264	9396	6	2	3	-12	-18	1	0	0	0	0
1044	4356	4500	5220	6	29	121	-125	-145	0	0	0	0	0
1045	1216	2116	5500	6	1045	1216	-2116	-5500	0	0	0	0	0
1045	1577	6545	9877	6	1045	1577	-6545	-9877	1	0	0	0	0
1046	1569	6276	9414	6	2	3	-12	-18	1	0	0	0	0
1048	1552	5764	8536	6	262	388	-1441	-2134	1	0	0	0	0
1048	1572	6288	9432	6	2	3	-12	-18	1	0	0	0	0
1050	1575	1680	1750	6	30	45	-48	-50	0	0	0	0	0
1050	1575	1750	6720	6	30	45	-50	-192	0	0	0	0	0
1050	1575	6300	9450	6	2	3	-12	-18	1	0	0	0	0
1050	2037	2058	8148	6	50	97	-98	-388	0	0	0	0	0
1050	2070	2870	5658	6	525	1035	-1435	-2829	1	0	0	0	0
1050	2352	2400	8400	6	175	392	-400	-1400	0	0	0	0	0
1050	2646	2700	4725	6	350	882	-900	-1575	0	0	0	0	0
1050	3360	3500	6300	6	15	48	-50	-90	0	0	0	0	0
1050	3549	4116	5082	6	50	169	-196	-242	0	0	0	0	0
1050	3675	3750	8400	6	14	49	-50	-112	0	0	0	0	0
1050	4032	4480	6720	6	75	288	-320	-480	0	0	0	0	0
1052	1578	6312	9468	6	2	3	-12	-18	1	0	0	0	0
1053	1287	2223	2717	6	81	99	-171	-209	1	0	0	0	0
1053	1557	5733	8477	6	1053	1557	-5733	-8477	1	0	0	0	0
1053	3267	3757	4563	6	1053	3267	-3757	-4563	0	0	0	0	0
1053	3822	4212	6318	6	27	98	-108	-162	0	0	0	0	0
1054	1071	1116	1134	6	1054	1071	-1116	-1134	1	0	0	0	0
