a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
6012	6513	8016	8684	6	36	39	-48	-52	1	0	0	0	0
6016	6144	6486	6624	6	3008	3072	-3243	-3312	1	0	0	0	0
6024	6526	6624	7176	6	3012	3263	-3312	-3588	1	0	0	0	0
6030	6231	6780	7006	6	6030	6231	-6780	-7006	1	0	0	0	0
6030	6345	7236	7614	6	670	705	-804	-846	1	0	0	0	0
6035	6715	8875	9875	6	1207	1343	-1775	-1975	1	0	0	0	0
6039	6501	7869	8471	6	6039	6501	-7869	-8471	1	0	0	0	0
6042	7049	7524	8778	6	318	371	-396	-462	1	0	0	0	0
6048	6552	8064	8736	6	36	39	-48	-52	1	0	0	0	0
6084	6591	8112	8788	6	36	39	-48	-52	1	0	0	0	0
6086	6324	6981	7254	6	6086	6324	-6981	-7254	1	0	0	0	0
6100	6710	8600	9460	6	610	671	-860	-946	1	0	0	0	0
6104	6496	7630	8120	6	436	464	-545	-580	1	0	0	0	0
6109	6191	6407	6493	6	6109	6191	-6407	-6493	1	0	0	0	0
6118	6762	8778	9702	6	437	483	-627	-693	1	0	0	0	0
6120	6630	8160	8840	6	36	39	-48	-52	1	0	0	0	0
6140	7550	7982	9815	6	6140	7550	-7982	-9815	1	0	0	0	0
6142	6660	8217	8910	6	6142	6660	-8217	-8910	1	0	0	0	0
6156	6669	8208	8892	6	36	39	-48	-52	1	0	0	0	0
6164	6256	6499	6596	6	6164	6256	-6499	-6596	1	0	0	0	0
6165	6585	7809	8341	6	6165	6585	-7809	-8341	1	0	0	0	0
6169	6567	7719	8217	6	6169	6567	-7719	-8217	1	0	0	0	0
6192	6528	7482	7888	6	3096	3264	-3741	-3944	1	0	0	0	0
6192	6708	8256	8944	6	36	39	-48	-52	1	0	0	0	0
6204	6512	6768	7104	6	1551	1628	-1692	-1776	1	0	0	0	0
6228	6747	8304	8996	6	36	39	-48	-52	1	0	0	0	0
6230	6675	7980	8550	6	1246	1335	-1596	-1710	1	0	0	0	0
6234	6948	7273	8106	6	6234	6948	-7273	-8106	1	0	0	0	0
6248	6402	6816	6984	6	3124	3201	-3408	-3492	1	0	0	0	0
6250	6425	6500	6682	6	6250	6425	-6500	-6682	1	0	0	0	0
6264	6336	6525	6600	6	2088	2112	-2175	-2200	1	0	0	0	0
6264	6786	8352	9048	6	36	39	-48	-52	1	0	0	0	0
6280	6720	8007	8568	6	6280	6720	-8007	-8568	1	0	0	0	0
6290	6460	6919	7106	6	370	380	-407	-418	1	0	0	0	0
6300	6825	8400	9100	6	36	39	-48	-52	1	0	0	0	0
6304	6895	8704	9520	6	6304	6895	-8704	-9520	1	0	0	0	0
