p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
37	0	0	0	0	0	0	19	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
37	0	0	0	0	0	0	18	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
37	0	0	35	0	9	24	12	t0+qrep+qgcd+root0+rad0	0	0	4	10
37	0	0	35	0	9	24	25	t0+qrep+qgcd+root0+rad0	0	0	10	28
37	0	0	35	0	28	13	12	t0+qrep+qgcd+root0+rad0	0	0	10	28
37	0	0	35	0	28	13	25	t0+qrep+qgcd+root0+rad0	0	0	4	10
37	0	4	0	0	22	9	9	root0+rootrep+rad0	0	0	34	21
37	0	4	0	0	22	9	28	root0+rootrep+rad0	0	0	25	0
37	0	4	0	0	22	28	9	root0+rootrep+rad0	0	0	25	0
37	0	4	0	0	22	28	28	root0+rootrep+rad0	0	0	26	27
37	0	4	0	0	15	9	9	root0+rootrep+rad0	0	0	26	27
37	0	4	0	0	15	9	28	root0+rootrep+rad0	0	0	25	0
37	0	4	0	0	15	28	9	root0+rootrep+rad0	0	0	25	0
37	0	4	0	0	15	28	28	root0+rootrep+rad0	0	0	34	21
37	0	8	0	0	23	14	6	qgcd+root0+rootrep+rad0	0	0	0	0
37	0	8	0	0	23	14	31	qgcd+root0+rootrep+rad0	0	0	0	0
37	0	8	0	0	14	23	6	qgcd+root0+rootrep+rad0	0	0	0	0
37	0	8	0	0	14	23	31	qgcd+root0+rootrep+rad0	0	0	0	0
37	0	17	0	0	35	7	25	root0+rad0	0	0	16	33
37	0	17	0	0	2	30	12	root0+rad0	0	0	16	33
37	0	19	28	22	22	16	21	qgcd+rootrep+rad0	9	36	36	0
37	0	19	28	22	22	21	16	qgcd+rootrep+rad0	9	36	36	0
37	0	19	28	22	15	16	16	qgcd+rootrep+rad0	9	0	0	36
37	0	19	28	22	15	16	21	qgcd+rootrep+rad0	28	0	0	0
37	0	19	28	22	15	21	16	qgcd+rootrep+rad0	28	0	0	0
37	0	19	28	22	15	21	21	qgcd+rootrep+rad0	9	0	0	36
37	0	19	28	15	22	16	16	qgcd+rootrep+rad0	9	0	0	36
37	0	19	28	15	22	16	21	qgcd+rootrep+rad0	28	0	0	0
37	0	19	28	15	22	21	16	qgcd+rootrep+rad0	28	0	0	0
37	0	19	28	15	22	21	21	qgcd+rootrep+rad0	9	0	0	36
37	0	19	28	15	15	16	21	qgcd+rootrep+rad0	9	36	36	0
37	0	19	28	15	15	21	16	qgcd+rootrep+rad0	9	36	36	0
37	0	35	36	33	4	19	18	rootrep+rad0	4	0	0	0
37	0	35	36	33	4	18	19	rootrep+rad0	4	0	0	0
37	0	35	36	4	33	19	18	rootrep+rad0	4	0	0	0
37	0	35	36	4	33	18	19	rootrep+rad0	4	0	0	0
37	1	0	1	0	1	1	1	t0+qgcd+root0+rootrep+rad0	0	0	4	4
37	1	0	1	0	1	1	36	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	1	36	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	1	36	36	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	36	1	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	36	1	36	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	36	36	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
37	1	0	1	0	36	36	36	t0+qgcd+root0+rootrep+rad0	0	0	4	4
37	1	0	13	0	35	10	21	t0+qgcd+root0+rad0	0	0	16	10
37	1	0	13	0	2	27	16	t0+qgcd+root0+rad0	0	0	16	10
37	1	1	2	23	14	8	29	qgcd+rootrep+rad0	1	0	0	0
37	1	1	2	23	14	29	8	qgcd+rootrep+rad0	1	0	0	0
37	1	1	2	14	23	8	29	qgcd+rootrep+rad0	1	0	0	0
37	1	1	2	14	23	29	8	qgcd+rootrep+rad0	1	0	0	0
37	1	5	14	35	2	13	31	qgcd+rootrep+rad0	16	0	0	30
37	1	5	14	35	2	24	6	qgcd+rootrep+rad0	16	0	0	30
37	1	5	14	2	35	13	31	qgcd+rootrep+rad0	16	0	0	30
37	1	5	14	2	35	24	6	qgcd+rootrep+rad0	16	0	0	30
37	1	24	0	26	26	12	25	qgcd+rootrep+rad0	3	21	21	0
37	1	24	0	26	26	25	12	qgcd+rootrep+rad0	3	21	21	0
37	1	24	0	26	11	12	12	qgcd+rootrep+rad0	3	0	0	1
37	1	24	0	26	11	12	25	qgcd+rootrep+rad0	34	0	0	0
37	1	24	0	26	11	25	12	qgcd+rootrep+rad0	34	0	0	0
37	1	24	0	26	11	25	25	qgcd+rootrep+rad0	3	0	0	1
37	1	24	0	11	26	12	12	qgcd+rootrep+rad0	3	0	0	1
37	1	24	0	11	26	12	25	qgcd+rootrep+rad0	34	0	0	0
37	1	24	0	11	26	25	12	qgcd+rootrep+rad0	34	0	0	0
37	1	24	0	11	26	25	25	qgcd+rootrep+rad0	3	0	0	1
37	1	24	0	11	11	12	25	qgcd+rootrep+rad0	3	21	21	0
37	1	24	0	11	11	25	12	qgcd+rootrep+rad0	3	21	21	0
37	1	33	31	0	0	10	27	qgcd+root0+rootrep+rad0	0	0	0	0
37	1	33	31	0	0	27	10	qgcd+root0+rootrep+rad0	0	0	0	0
37	2	0	2	0	34	14	7	t0+qgcd+root0+rad0	0	0	26	25
