p	u	t	w	a	b	c	d	flags	r0	r1	r2	r3
17	0	0	0	0	0	0	8	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	0	0	0	0	9	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	8	0	10	10	4	t0+qrep+qgcd+root0+rootrep+rad0	0	0	1	1
17	0	0	8	0	10	10	13	t0+qrep+qgcd+root0+rootrep+rad0	0	0	15	15
17	0	0	8	0	10	7	4	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	8	0	10	7	13	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	8	0	7	10	4	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	8	0	7	10	13	t0+qrep+qgcd+root0+rootrep+rad0	0	0	0	0
17	0	0	8	0	7	7	4	t0+qrep+qgcd+root0+rootrep+rad0	0	0	15	15
17	0	0	8	0	7	7	13	t0+qrep+qgcd+root0+rootrep+rad0	0	0	1	1
17	0	9	13	11	11	10	10	qgcd+rootrep	13	13	13	4
17	0	9	13	11	11	10	7	qgcd+rootrep+rad0	4	16	16	0
17	0	9	13	11	11	7	10	qgcd+rootrep+rad0	4	16	16	0
17	0	9	13	11	11	7	7	qgcd+rootrep	13	4	4	13
17	0	9	13	11	6	10	10	qgcd+rootrep+rad0	4	0	0	16
17	0	9	13	11	6	10	7	qgcd+rootrep+rad0	13	0	0	0
17	0	9	13	11	6	7	10	qgcd+rootrep+rad0	13	0	0	0
17	0	9	13	11	6	7	7	qgcd+rootrep+rad0	4	0	0	16
17	0	9	13	6	11	10	10	qgcd+rootrep+rad0	4	0	0	16
17	0	9	13	6	11	10	7	qgcd+rootrep+rad0	13	0	0	0
17	0	9	13	6	11	7	10	qgcd+rootrep+rad0	13	0	0	0
17	0	9	13	6	11	7	7	qgcd+rootrep+rad0	4	0	0	16
17	0	9	13	6	6	10	10	qgcd+rootrep	13	4	4	13
17	0	9	13	6	6	10	7	qgcd+rootrep+rad0	4	16	16	0
17	0	9	13	6	6	7	10	qgcd+rootrep+rad0	4	16	16	0
17	0	9	13	6	6	7	7	qgcd+rootrep	13	13	13	4
17	1	0	1	0	1	1	1	t0+qgcd+root0+rootrep+rad0	0	0	4	4
17	1	0	1	0	1	1	16	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	1	16	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	1	16	16	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	16	1	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	16	1	16	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	16	16	1	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	1	0	16	16	16	t0+qgcd+root0+rootrep+rad0	0	0	4	4
17	1	0	6	0	11	11	3	t0+qgcd+root0+rootrep+rad0	0	0	4	4
17	1	0	6	0	11	6	3	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	6	0	11	6	14	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	6	0	6	11	3	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	6	0	6	11	14	t0+qgcd+root0+rootrep+rad0	0	0	0	0
17	1	0	6	0	6	6	14	t0+qgcd+root0+rootrep+rad0	0	0	4	4
17	1	9	1	1	3	14	8	qrep+qgcd+rootrep+rad0	13	13	0	0
17	1	9	1	1	14	3	8	qrep+qgcd+rootrep+rad0	13	13	0	0
17	1	9	1	16	3	14	9	qrep+qgcd+rootrep+rad0	13	13	0	0
17	1	9	1	16	14	3	9	qrep+qgcd+rootrep+rad0	13	13	0	0
