a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
2002	2548	5005	6370	6	22	28	-55	-70	1	0	0	0	0
2002	2618	5642	7378	6	143	187	-403	-527	1	0	0	0	0
2002	2639	5852	7714	6	286	377	-836	-1102	1	0	0	0	0
2006	2244	3009	3366	6	118	132	-177	-198	1	0	0	0	0
2006	2419	4012	4838	6	34	41	-68	-82	1	0	0	0	0
2006	3740	5015	9350	6	118	220	-295	-550	1	0	0	0	0
2010	2115	2412	2538	6	670	705	-804	-846	1	0	0	0	0
2010	3015	3216	3350	6	30	45	-48	-50	0	0	0	0	0
2010	3015	3260	4890	6	402	603	-652	-978	1	0	0	0	0
2010	3060	3685	5610	6	402	612	-737	-1122	1	0	0	0	0
2014	2332	3439	3982	6	2014	2332	-3439	-3982	1	0	0	0	0
2014	2756	7049	9646	6	38	52	-133	-182	1	0	0	0	0
2016	2100	2240	3360	6	72	75	-80	-120	0	0	0	0	0
2016	2184	2688	2912	6	36	39	-48	-52	1	0	0	0	0
2016	2304	3276	3744	6	56	64	-91	-104	1	0	0	0	0
2016	2560	2835	3600	6	2016	2560	-2835	-3600	1	0	0	0	0
2016	2604	5376	6944	6	72	93	-192	-248	1	0	0	0	0
2016	2688	2738	4704	6	1008	1344	-1369	-2352	0	0	0	0	0
2016	2688	6216	8288	6	36	48	-111	-148	1	0	0	0	0
2016	3528	3600	9072	6	28	49	-50	-126	0	0	0	0	0
2016	3750	3780	8820	6	336	625	-630	-1470	0	0	0	0	0
2016	4032	4116	6048	6	24	48	-49	-72	0	0	0	0	0
2016	6048	7098	8064	6	48	144	-169	-192	0	0	0	0	0
2016	7056	8978	9072	6	1008	3528	-4489	-4536	0	0	0	0	0
2020	2480	4343	5332	6	2020	2480	-4343	-5332	1	0	0	0	0
2021	2068	3268	3344	6	2021	2068	-3268	-3344	1	0	0	0	0
2021	2679	6063	8037	6	43	57	-129	-171	1	0	0	0	0
2022	3603	4044	7206	6	674	1201	-1348	-2402	1	0	0	0	0
2023	2209	2401	4375	6	2023	2209	-2401	-4375	0	0	0	0	0
2024	2288	2300	5096	6	506	572	-575	-1274	0	0	0	0	0
2024	2576	5060	6440	6	22	28	-55	-70	1	0	0	0	0
2025	2475	4275	5225	6	81	99	-171	-209	1	0	0	0	0
2025	3045	3645	5481	6	675	1015	-1215	-1827	1	0	0	0	0
2028	2304	2704	8112	6	507	576	-676	-2028	0	0	0	0	0
2031	3015	3385	5025	0	2031	3015	3385	5025	1	1	0	0	0
2032	2368	3556	4144	6	508	592	-889	-1036	1	0	0	0	0
2035	2553	4785	6003	6	2035	2553	-4785	-6003	1	0	0	0	0
2040	2460	4080	4920	6	34	41	-68	-82	1	0	0	0	0
2040	3060	3264	3400	6	30	45	-48	-50	0	0	0	0	0
2040	4080	4165	6120	6	24	48	-49	-72	0	0	0	0	0
2041	2164	8164	8656	6	2041	2164	-8164	-8656	1	0	0	0	0
2044	2681	5840	7660	6	2044	2681	-5840	-7660	1	0	0	0	0
2044	3577	3650	9198	6	28	49	-50	-126	0	0	0	0	0
2046	2508	4371	5358	6	682	836	-1457	-1786	1	0	0	0	0
2046	2604	5115	6510	6	22	28	-55	-70	1	0	0	0	0
2046	2790	3190	4350	6	1023	1395	-1595	-2175	1	0	0	0	0
2047	2759	6647	8959	6	2047	2759	-6647	-8959	1	0	0	0	0
2048	3392	5312	8798	6	1024	1696	-2656	-4399	1	0	0	0	0
2050	2337	3300	3762	6	2050	2337	-3300	-3762	1	0	0	0	0
2050	6929	8036	9922	6	50	169	-196	-242	0	0	0	0	0
2052	2223	2736	2964	6	36	39	-48	-52	1	0	0	0	0
2052	2448	3933	4692	6	684	816	-1311	-1564	1	0	0	0	0
2052	2511	2736	3348	6	228	279	-304	-372	1	0	0	0	0
2052	2565	4752	5940	6	76	95	-176	-220	1	0	0	0	0
2052	2736	6327	8436	6	36	48	-111	-148	1	0	0	0	0
2052	2808	7182	9828	6	38	52	-133	-182	1	0	0	0	0
2052	3888	4427	8388	6	2052	3888	-4427	-8388	1	0	0	0	0
2052	3888	5263	9972	6	2052	3888	-5263	-9972	1	0	0	0	0
2057	2533	4477	5513	6	2057	2533	-4477	-5513	1	0	0	0	0
2058	3024	3087	6174	6	98	144	-147	-294	0	0	0	0	0
2060	2690	5768	7532	6	1030	1345	-2884	-3766	1	0	0	0	0
2064	2736	6192	8208	6	43	57	-129	-171	1	0	0	0	0
2064	3096	4376	6564	6	516	774	-1094	-1641	1	0	0	0	0
2064	4128	4214	6192	6	24	48	-49	-72	0	0	0	0	0
2064	6192	7267	8256	6	48	144	-169	-192	0	0	0	0	0
2068	2332	3196	3604	6	517	583	-799	-901	1	0	0	0	0
2068	2632	5170	6580	6	22	28	-55	-70	1	0	0	0	0
2070	2430	3726	4374	6	115	135	-207	-243	1	0	0	0	0
2070	2622	5070	6422	6	1035	1311	-2535	-3211	1	0	0	0	0
2070	2645	2890	7360	6	414	529	-578	-1472	0	0	0	0	0
2070	2805	6900	9350	6	414	561	-1380	-1870	1	0	0	0	0
2070	3105	3312	3450	6	30	45	-48	-50	0	0	0	0	0
2071	2679	5559	7191	6	2071	2679	-5559	-7191	1	0	0	0	0
2072	2368	3367	3848	6	56	64	-91	-104	1	0	0	0	0
2072	2464	3922	4664	6	1036	1232	-1961	-2332	1	0	0	0	0
2072	2660	2960	3800	6	518	665	-740	-950	1	0	0	0	0
2072	3626	3700	9324	6	28	49	-50	-126	0	0	0	0	0
2074	2501	4148	5002	6	34	41	-68	-82	1	0	0	0	0
2074	2788	6649	8938	6	2074	2788	-6649	-8938	1	0	0	0	0
2079	3402	5258	8604	6	2079	3402	-5258	-8604	1	0	0	0	0
2080	2496	4080	4896	6	130	156	-255	-306	1	0	0	0	0
2080	2795	6656	8944	6	160	215	-512	-688	1	0	0	0	0
2080	3328	3380	7200	6	520	832	-845	-1800	0	0	0	0	0
2088	2112	2175	2200	6	2088	2112	-2175	-2200	1	0	0	0	0
2088	2175	2320	3480	6	72	75	-80	-120	0	0	0	0	0
2088	2262	2784	3016	6	36	39	-48	-52	1	0	0	0	0
