m	n	torsion_coset	t_valuation	t_mod13	t_mod13_5	chart	deep_p5
-73	6939	1	0	1	296999	finite	0
-2593	7107	1	0	1	171770	finite	0
-3529	-7557	1	0	1	91235	finite	0
-3529	1179	1	0	1	119796	finite	0
-3937	-6333	1	0	1	33359	finite	0
-7993	-4149	1	0	1	16524	finite	0
-7993	4587	1	0	1	330695	finite	0
6047	7395	1	0	1	301471	finite	0
8807	-7509	1	0	1	116065	finite	0
-9649	-7341	1	0	1	360712	finite	0
3455	5763	1	0	1	189346	finite	0
-8401	6387	1	0	1	4200	finite	0
2519	-165	1	0	1	109656	finite	0
-5617	8787	1	0	1	318969	finite	0
-3433	-6501	1	0	1	147603	finite	0
-937	2235	1	0	1	323597	finite	0
2183	2859	1	0	1	256686	finite	0
6647	-1125	1	0	1	275029	finite	0
2591	9795	1	0	1	52014	finite	0
3527	-9237	1	0	1	252968	finite	0
-1273	5259	1	0	1	297571	finite	0
-2929	-6669	1	0	1	354121	finite	0
-4969	-5829	1	0	1	321062	finite	0
9071	5715	1	0	1	267840	finite	0
-6385	-3021	1	0	1	53548	finite	0
4535	-9573	1	0	1	216126	finite	0
4535	-837	1	0	1	244687	finite	0
-6121	-453	1	0	1	261847	finite	0
-5809	6099	1	0	1	218648	finite	0
1607	-117	1	0	1	195937	finite	0
-1513	-8229	1	0	1	274600	finite	0
