a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
4004	4641	6864	7956	6	308	357	-528	-612	1	0	0	0	0
4004	4784	5159	6164	6	4004	4784	-5159	-6164	1	0	0	0	0
4004	5278	6622	8729	6	572	754	-946	-1247	1	0	0	0	0
4012	4425	5712	6300	6	4012	4425	-5712	-6300	1	0	0	0	0
4012	4488	6018	6732	6	118	132	-177	-198	1	0	0	0	0
4012	4838	8024	9676	6	34	41	-68	-82	1	0	0	0	0
4015	4785	7665	9135	6	803	957	-1533	-1827	1	0	0	0	0
4018	4732	4879	5746	6	4018	4732	-4879	-5746	1	0	0	0	0
4020	4230	4824	5076	6	670	705	-804	-846	1	0	0	0	0
4020	4650	5226	6045	6	1340	1550	-1742	-2015	1	0	0	0	0
4020	6030	6432	6700	6	30	45	-48	-50	0	0	0	0	0
4020	6030	6520	9780	6	402	603	-652	-978	1	0	0	0	0
4025	4725	7245	8505	6	115	135	-207	-243	1	0	0	0	0
4025	8575	9025	9200	6	161	343	-361	-368	0	0	0	0	0
4028	4664	6878	7964	6	2014	2332	-3439	-3982	1	0	0	0	0
4030	4495	5980	6670	6	806	899	-1196	-1334	1	0	0	0	0
4030	4836	7905	9486	6	130	156	-255	-306	1	0	0	0	0
4032	4060	6300	9135	6	576	580	-900	-1305	0	0	0	0	0
4032	4200	4480	6720	6	72	75	-80	-120	0	0	0	0	0
4032	4368	5376	5824	6	36	39	-48	-52	1	0	0	0	0
4032	4536	4984	5607	6	576	648	-712	-801	1	0	0	0	0
4032	4608	6552	7488	6	56	64	-91	-104	1	0	0	0	0
4032	4617	4788	7500	6	1344	1539	-1596	-2500	0	0	0	0	0
4032	5120	5670	7200	6	2016	2560	-2835	-3600	1	0	0	0	0
4032	5376	5476	9408	6	1008	1344	-1369	-2352	0	0	0	0	0
4042	4136	6536	6688	6	2021	2068	-3268	-3344	1	0	0	0	0
4046	4418	4802	8750	6	2023	2209	-2401	-4375	0	0	0	0	0
4046	4879	8092	9758	6	34	41	-68	-82	1	0	0	0	0
4050	6075	6480	6750	6	30	45	-48	-50	0	0	0	0	0
4053	4347	5211	5589	6	1351	1449	-1737	-1863	1	0	0	0	0
4056	4656	5256	7081	6	4056	4656	-5256	-7081	0	0	0	0	0
4059	4191	4551	4699	6	4059	4191	-4551	-4699	1	0	0	0	0
4064	4736	7112	8288	6	508	592	-889	-1036	1	0	0	0	0
4068	4407	5424	5876	6	36	39	-48	-52	1	0	0	0	0
4070	4180	4477	4598	6	370	380	-407	-418	1	0	0	0	0
4071	4356	4366	5106	6	4071	4356	-4366	-5106	0	0	0	0	0
4080	4845	7680	9120	6	272	323	-512	-608	1	0	0	0	0
4080	4920	8160	9840	6	34	41	-68	-82	1	0	0	0	0
4080	6120	6528	6800	6	30	45	-48	-50	0	0	0	0	0
4082	4628	6437	7298	6	4082	4628	-6437	-7298	1	0	0	0	0
4088	4307	4928	5192	6	4088	4307	-4928	-5192	1	0	0	0	0
4088	4672	6643	7592	6	56	64	-91	-104	1	0	0	0	0
4092	5580	6380	8700	6	1023	1395	-1595	-2175	1	0	0	0	0
4094	4876	5251	6254	6	4094	4876	-5251	-6254	1	0	0	0	0
4100	4674	6600	7524	6	2050	2337	-3300	-3762	1	0	0	0	0
4104	4275	4560	6840	6	72	75	-80	-120	0	0	0	0	0
4104	4446	5472	5928	6	36	39	-48	-52	1	0	0	0	0
4104	4896	7866	9384	6	684	816	-1311	-1564	1	0	0	0	0
4104	5022	5472	6696	6	228	279	-304	-372	1	0	0	0	0
4110	6165	6576	6850	6	30	45	-48	-50	0	0	0	0	0
4114	4356	5049	5346	6	374	396	-459	-486	1	0	0	0	0
4114	4961	8228	9922	6	34	41	-68	-82	1	0	0	0	0
4128	4257	4608	4752	6	1376	1419	-1536	-1584	1	0	0	0	0
