p	A	B	C	rho	sigma	pairing	M	N	reason
71	5	28	35	55	47	1	-1	-1	projective_MN_missing_6
71	5	28	35	55	47	2	-1	-1	projective_MN_missing_6
71	5	28	35	55	47	3	-1	-1	projective_MN_missing_6
71	5	35	28	55	47	1	-1	-1	projective_MN_missing_6
71	5	35	28	55	47	2	-1	-1	projective_MN_missing_6
71	5	35	28	55	47	3	-1	-1	projective_MN_missing_6
71	8	14	26	9	3	1	-1	-1	projective_MN_missing_6
71	8	14	26	9	3	2	-1	-1	projective_MN_missing_6
71	8	14	26	9	3	3	-1	-1	projective_MN_missing_6
71	8	22	23	68	67	1	-1	-1	projective_MN_missing_6
71	8	22	23	68	67	2	-1	-1	projective_MN_missing_6
71	8	22	23	68	67	3	-1	-1	projective_MN_missing_6
71	8	23	22	68	67	1	-1	-1	projective_MN_missing_6
71	8	23	22	68	67	2	-1	-1	projective_MN_missing_6
71	8	23	22	68	67	3	-1	-1	projective_MN_missing_6
71	8	26	14	9	3	1	-1	-1	projective_MN_missing_6
71	8	26	14	9	3	2	-1	-1	projective_MN_missing_6
71	8	26	14	9	3	3	-1	-1	projective_MN_missing_6
71	9	34	42	4	3	1	-1	-1	projective_MN_missing_6
71	9	34	42	4	3	2	-1	-1	projective_MN_missing_6
71	9	34	42	4	3	3	-1	-1	projective_MN_missing_6
71	9	41	66	68	62	1	-1	-1	projective_MN_missing_6
71	9	41	66	68	62	2	-1	-1	projective_MN_missing_6
71	9	41	66	68	62	3	-1	-1	projective_MN_missing_6
71	9	42	34	4	3	1	-1	-1	projective_MN_missing_6
71	9	42	34	4	3	2	-1	-1	projective_MN_missing_6
71	9	42	34	4	3	3	-1	-1	projective_MN_missing_6
71	9	66	41	68	62	1	-1	-1	projective_MN_missing_6
71	9	66	41	68	62	2	-1	-1	projective_MN_missing_6
71	9	66	41	68	62	3	-1	-1	projective_MN_missing_6
71	14	8	26	9	3	1	-1	-1	projective_MN_missing_6
71	14	8	26	9	3	2	-1	-1	projective_MN_missing_6
71	14	8	26	9	3	3	-1	-1	projective_MN_missing_6
71	14	26	8	9	3	1	-1	-1	projective_MN_missing_6
71	14	26	8	9	3	2	-1	-1	projective_MN_missing_6
71	14	26	8	9	3	3	-1	-1	projective_MN_missing_6
71	22	8	23	68	67	1	-1	-1	projective_MN_missing_6
71	22	8	23	68	67	2	-1	-1	projective_MN_missing_6
71	22	8	23	68	67	3	-1	-1	projective_MN_missing_6
71	22	23	8	68	67	1	-1	-1	projective_MN_missing_6
71	22	23	8	68	67	2	-1	-1	projective_MN_missing_6
71	22	23	8	68	67	3	-1	-1	projective_MN_missing_6
71	23	8	22	68	67	1	-1	-1	projective_MN_missing_6
71	23	8	22	68	67	2	-1	-1	projective_MN_missing_6
71	23	8	22	68	67	3	-1	-1	projective_MN_missing_6
71	23	22	8	68	67	1	-1	-1	projective_MN_missing_6
71	23	22	8	68	67	2	-1	-1	projective_MN_missing_6
71	23	22	8	68	67	3	-1	-1	projective_MN_missing_6
71	26	8	14	9	3	1	-1	-1	projective_MN_missing_6
71	26	8	14	9	3	2	-1	-1	projective_MN_missing_6
71	26	8	14	9	3	3	-1	-1	projective_MN_missing_6
71	26	14	8	9	3	1	-1	-1	projective_MN_missing_6
71	26	14	8	9	3	2	-1	-1	projective_MN_missing_6
71	26	14	8	9	3	3	-1	-1	projective_MN_missing_6
71	28	5	35	55	47	1	-1	-1	projective_MN_missing_6
