a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	4	26	1	12	8	25	2	12	5
1	2	13	15	22	8	11	24	1	3	23
1	2	15	13	22	8	11	24	1	3	23
1	2	26	4	1	12	8	25	2	12	5
1	3	5	27	10	22	14	1	7	7	28
1	3	14	25	19	16	5	7	6	3	12
1	3	25	14	19	16	5	7	6	3	12
1	3	27	5	10	22	14	1	7	7	28
1	4	2	26	1	12	8	25	2	12	5
1	4	14	17	9	3	20	25	10	16	13
1	4	17	14	9	3	20	25	10	16	13
1	4	26	2	1	12	8	25	2	12	5
1	5	3	27	10	22	14	1	7	7	28
1	5	8	19	16	17	9	7	2	12	13
1	5	14	26	28	14	7	20	6	21	1
1	5	19	8	16	17	9	7	2	12	13
1	5	26	14	28	14	7	20	6	21	1
1	5	27	3	10	22	14	1	7	7	28
1	6	11	26	22	19	23	25	7	2	7
1	6	17	18	12	5	17	23	13	20	22
1	6	18	17	12	5	17	23	13	20	22
1	6	19	27	25	21	13	16	12	26	4
1	6	26	11	22	19	23	25	7	2	7
1	6	27	19	25	21	13	16	12	26	4
1	7	8	17	26	3	3	25	10	11	19
1	7	11	21	3	20	9	20	13	2	8
1	7	17	8	26	3	3	25	10	11	19
1	7	21	11	3	20	9	20	13	2	8
1	8	5	19	16	17	9	7	2	12	13
1	8	7	17	26	3	3	25	10	11	19
1	8	17	7	26	3	3	25	10	11	19
1	8	19	5	16	17	9	7	2	12	13
1	8	23	27	18	24	1	23	12	12	19
1	8	27	23	18	24	1	23	12	12	19
1	9	10	21	14	6	18	25	12	4	16
1	9	12	26	3	3	26	25	4	18	10
1	9	18	19	13	27	2	16	9	11	7
1	9	19	18	13	27	2	16	9	11	7
1	9	21	10	14	6	18	25	12	4	16
1	9	26	12	3	3	26	25	4	18	10
1	10	9	21	14	6	18	25	12	4	16
1	10	18	24	15	7	23	1	2	10	11
1	10	21	9	14	6	18	25	12	4	16
1	10	24	18	15	7	23	1	2	10	11
1	11	6	26	22	19	23	25	7	2	7
1	11	7	21	3	20	9	20	13	2	8
1	11	13	19	14	17	27	23	6	26	8
1	11	19	13	14	17	27	23	6	26	8
1	11	21	7	3	20	9	20	13	2	8
1	11	26	6	22	19	23	25	7	2	7
1	12	9	26	3	3	26	25	4	18	10
1	12	13	14	17	5	12	23	11	9	7
1	12	14	13	17	5	12	23	11	9	7
1	12	19	23	20	3	9	25	4	13	16
1	12	23	19	20	3	9	25	4	13	16
1	12	26	9	3	3	26	25	4	18	10
1	13	2	15	22	8	11	24	1	3	23
1	13	11	19	14	17	27	23	6	26	8
1	13	12	14	17	5	12	23	11	9	7
1	13	14	12	17	5	12	23	11	9	7
1	13	15	2	22	8	11	24	1	3	23
1	13	19	11	14	17	27	23	6	26	8
1	14	3	25	19	16	5	7	6	3	12
1	14	4	17	9	3	20	25	10	16	13
1	14	5	26	28	14	7	20	6	21	1
1	14	12	13	17	5	12	23	11	9	7
1	14	13	12	17	5	12	23	11	9	7
1	14	17	4	9	3	20	25	10	16	13
1	14	25	3	19	16	5	7	6	3	12
1	14	26	5	28	14	7	20	6	21	1
1	15	2	13	22	8	11	24	1	3	23
