a	b	c	d	e1	e2	e3	e4	L	U	v
1	2	5	19	19	16	14	16	10	2	28
1	2	8	10	14	1	13	25	7	1	8
1	2	8	25	12	18	16	9	7	1	21
1	2	10	8	14	1	13	25	7	1	8
1	2	10	18	26	21	16	20	14	12	14
1	2	12	13	8	20	17	4	6	24	15
1	2	12	27	10	8	8	9	4	12	15
1	2	13	12	8	20	17	4	6	24	15
1	2	15	26	7	28	16	25	7	2	29
1	2	18	10	26	21	16	20	14	12	14
1	2	19	5	19	16	14	16	10	2	28
1	2	23	24	25	16	12	20	14	13	30
1	2	24	23	25	16	12	20	14	13	30
1	2	24	26	17	18	4	2	9	28	12
1	2	25	8	12	18	16	9	7	1	21
1	2	26	15	7	28	16	25	7	2	29
1	2	26	24	17	18	4	2	9	28	12
1	2	27	12	10	8	8	9	4	12	15
1	3	5	21	11	8	23	25	14	3	5
1	3	8	15	20	1	2	20	1	24	30
1	3	9	13	12	16	12	7	6	1	7
1	3	9	15	6	28	27	4	11	27	14
1	3	10	22	5	30	14	19	1	0	27
1	3	12	25	4	18	16	1	11	10	21
1	3	13	9	12	16	12	7	6	1	7
1	3	15	8	20	1	2	20	1	24	30
1	3	15	9	6	28	27	4	11	27	14
1	3	21	5	11	8	23	25	14	3	5
1	3	21	25	22	9	24	5	2	7	18
1	3	22	10	5	30	14	19	1	0	27
1	3	23	25	17	27	8	28	11	15	2
1	3	25	12	4	18	16	1	11	10	21
1	3	25	21	22	9	24	5	2	7	18
1	3	25	23	17	27	8	28	11	15	2
1	4	5	16	19	2	22	7	12	8	2
1	4	6	24	9	1	7	14	14	4	12
1	4	7	8	6	20	2	18	3	16	26
1	4	7	19	24	30	1	25	13	23	1
1	4	8	7	6	20	2	18	3	16	26
1	4	8	9	7	8	21	19	3	16	4
1	4	9	8	7	8	21	19	3	16	4
1	4	10	14	3	3	5	4	11	27	1
1	4	11	26	8	5	7	9	8	7	21
1	4	12	29	10	8	8	9	4	12	15
1	4	14	10	3	3	5	4	11	27	1
1	4	16	5	19	2	22	7	12	8	2
1	4	16	28	3	5	8	5	12	8	13
1	4	19	7	24	30	1	25	13	23	1
1	4	21	29	28	14	1	14	14	8	23
1	4	24	6	9	1	7	14	14	4	12
1	4	26	11	8	5	7	9	8	7	21
1	4	28	16	3	5	8	5	12	8	13
1	4	29	12	10	8	8	9	4	12	15
1	4	29	21	28	14	1	14	14	8	23
1	5	2	19	19	16	14	16	10	2	28
1	5	3	21	11	8	23	25	14	3	5
1	5	4	16	19	2	22	7	12	8	2
1	5	9	10	21	28	16	8	4	25	29
1	5	9	16	22	11	8	18	7	3	19
1	5	10	9	21	28	16	8	4	25	29
1	5	12	15	23	14	24	1	6	13	27
1	5	13	21	16	18	4	1	3	17	8
1	5	15	12	23	14	24	1	6	13	27
1	5	15	22	22	11	8	18	7	3	19
