fiber	pair	source	t	a	b	c	d	primitive_a	primitive_b	primitive_c	primitive_d	in_bank	three_survivor	gcd_bound
F1	1-2	MW	1	46	292	1679	2	2	46	292	1679	1	0	256
F1	1-2	MW	-19	46	292	1679	722	46	292	722	1679	1	0	128
F2	1-2	MW	-1	71	3650	10366	2116	71	2116	3650	10366	1	0	128
F2	1-2	MW	37/23	71	3650	10366	5476	71	3650	5476	10366	1	0	256
F3	1-2	MW	-1	276	624	828	13	13	276	624	828	1	0	448
F3	1-2	MW	11	276	624	828	1573	276	624	828	1573	1	0	448
