m	n	torsion_coset
5148	1716	1
1980	-9900	1
0	0	1
-7920	-6336	1
-2376	6600	1
7128	2376	1
7524	9900	1
1980	-3036	1
4537	-5877	2
-611	-7593	2
9685	-4161	2
-2591	-861	2
-1403	-465	2
5329	1779	2
3349	-7857	2
7705	2571	2
9685	-7857	2
-2987	-8385	2
-1583	-7917	2
-6731	-9633	2
8317	-8313	2
3565	-6201	2
-4355	-8841	2
-8711	-2901	2
4753	-7389	2
-1583	-9501	2
5149	1719	2
5941	-9105	2
3961	1323	2
-5147	-1713	2
1585	531	2
3565	-9897	2
1	3	2
6733	2247	2
