m	n	torsion_coset
-9118	-8642	1
-9118	8638	1
-6238	2878	1
-4318	-4322	1
-3358	-5762	1
-1438	7198	1
-478	5758	1
2	-2	1
2	2878	1
2882	-4322	1
5762	4318	1
8162	-4322	1
8642	-2882	1
9602	8638	1
-8350	-2018	1
-5470	8062	1
-5470	9502	1
-4510	2302	1
-190	-7778	1
1250	3742	1
4130	-578	1
4610	-6338	1
6050	-7778	1
7010	-9218	1
7490	5182	1
8930	3742	1
9890	862	1
-9982	8926	1
-9502	6046	1
-6622	-1154	1
-5182	-4034	1
-4222	-5474	1
-3742	7486	1
-2302	7486	1
-862	286	1
-862	3166	1
1538	-8354	1
4898	4606	1
5858	-1154	1
7298	-4034	1
8738	8926	1
-9504	-6912	1
-8064	8928	1
-9694	-4610	1
-9214	-1730	1
-8254	-8930	1
-5374	2590	1
-3454	-4610	1
-2494	-7490	1
-2494	-6050	1
-574	6910	1
386	4030	1
386	5470	1
5186	-7490	1
6626	4030	1
9506	-3170	1
-7200	8640	1
-2880	-2880	1
-1440	-5760	1
0	0	1
0	8640	1
1440	-4320	1
-7486	-866	1
-6046	-3746	1
-5086	-6626	1
-4606	7774	1
-2206	-866	1
674	-8066	1
4994	-866	1
5474	-5186	1
8354	4894	1
-7561	2521	2
-4681	-7559	2
-1801	-5399	2
-1801	3961	2
-361	7561	2
1079	-4679	2
1079	6121	2
2519	-1079	2
3959	6841	2
5399	-6839	2
5399	2521	2
8279	-4679	2
8279	361	2
8279	3241	2
8279	4681	2
-9721	7561	2
-8281	-4679	2
-6841	361	2
-6841	8281	2
-5401	-2519	2
-5401	6841	2
-3961	1081	2
-2521	9001	2
-1081	-8999	2
-1081	361	2
-1081	4681	2
1799	-3959	2
1799	2521	2
4679	1801	2
7559	-2519	2
7559	2521	2
-8641	-2159	2
-7201	-5039	2
-5761	-1439	2
-5761	1	2
-5761	7921	2
-5761	9361	2
-1	1	2
4319	-6479	2
5759	-9359	2
5759	-7919	2
7199	-5759	2
7199	5041	2
8639	-7199	2
8639	2161	2
8639	3601	2
-9361	-2879	2
-6481	-7199	2
-6481	-2159	2
-6481	8641	2
-3601	9361	2
-2161	5041	2
-721	-5759	2
719	-2159	2
719	5761	2
3599	-1439	2
6479	7201	2
-9073	6193	4
-8593	-6047	4
-8593	3313	4
-7633	-7487	4
-7633	1873	4
-4753	-287	4
-4273	9073	4
-2833	-3167	4
-1873	-7487	4
-1393	-7487	4
-1393	2593	4
1007	1153	4
1007	4033	4
1487	-9647	4
1487	2593	4
2447	-8927	4
2927	8353	4
5327	-2447	4
6767	-5327	4
6767	-3887	4
7247	-8207	4
7247	-5327	4
8207	-9647	4
8207	-7487	4
8207	-1727	4
8207	9073	4
9647	6193	4
-9433	-4967	4
-9433	-2087	4
-8953	-2807	4
-8953	4393	4
-7993	3673	4
-7513	-7847	4
-6553	6553	4
-6073	-4247	4
-6073	-2087	4
-4633	-6407	4
-3673	-3527	4
-3193	7273	4
-2233	-4247	4
-1753	-5687	4
-793	7993	4
-313	-2807	4
2087	-647	4
2567	8713	4
3527	-6407	4
3527	-2807	4
5447	-1367	4
5447	7993	4
6407	-2807	4
6407	-2087	4
6407	6553	4
6887	2233	4
-8713	-7127	4
-7273	-647	4
-6793	8713	4
-5833	-6407	4
-5833	-2807	4
-4393	1513	4
-2473	2233	4
-73	-4967	4
-73	4393	4
407	2953	4
1367	-5687	4
1847	-7847	4
1847	1513	4
3287	6553	4
5687	5833	4
6167	-4967	4
6167	7273	4
7127	-4247	4
8567	-1367	4
8567	6553	4
9047	6553	4
-9313	7633	4
-8353	1153	4
-7873	-9647	4
-6433	8353	4
-5473	1873	4
-4993	-7487	4
-2113	-8207	4
-1153	-9647	4
-673	9793	4
767	-7487	4
1727	-8927	4
1727	9793	4
2207	6913	4
3167	7633	4
6047	8353	4
7967	433	4
9407	-1727	4
-8881	-9359	4
-8881	721	4
-6481	-7199	4
-3121	9361	4
-721	-5759	4
719	5761	4
3599	-8639	4
3599	9361	4
5519	3601	4
6479	7201	4
6959	-3599	4
6959	9361	4
8399	4321	4
9359	-9359	4
9839	1	4
9839	7921	4
-9721	-6119	4
-8281	-4679	4
-7801	4681	4
-5401	-2519	4
-5401	-1079	4
-5401	6841	4
-3961	-4679	4
-3961	4681	4
-3481	3241	4
-2041	6121	4
-1081	4681	4
-601	9721	4
839	-2519	4
1799	-3959	4
2279	-4679	4
2279	2521	4
3719	9001	4
5159	-4679	4
5159	3241	4
5159	5401	4
6599	1081	4
7559	-5399	4
7559	-2519	4
8039	2521	4
-9961	361	4
-9001	-8279	4
-8521	-1079	4
-7561	2521	4
-7081	-8279	4
-6121	-7559	4
-5641	-359	4
-4201	3241	4
-2761	1081	4
-1801	3961	4
-1321	-6839	4
-361	-6119	4
119	1801	4
1079	-4679	4
1559	4681	4
4439	-5399	4
4439	3961	4
5399	-6839	4
5399	2521	4
7319	6121	4
8279	4681	4
-9601	-719	4
-8641	-2159	4
-8641	1	4
-7201	-5039	4
-6721	9361	4
-5761	721	4
-5761	7921	4
-5761	9361	4
-5281	5041	4
-4321	5761	4
-3841	-7199	4
-2881	-8639	4
-2401	-9359	4
-1441	-2879	4
-1	1	4
479	-8639	4
479	-1439	4
479	1	4
1919	-3599	4
2879	-7199	4
4319	-1439	4
5759	-9359	4
5759	-7919	4
6239	-9359	4
7199	5041	4
8639	-5759	4
8639	2161	4
9119	2161	4
