family	n	d	parameter	status	jacobian_order
5	0	1	0	boundary	0
5	1	1	1	boundary	0
5	2	1	2	good_allowed	48384
5	4	1	4	good_allowed	43008
5	8	1	8	good_allowed	43008
5	12	1	12	good_allowed	43008
5	13	1	13	boundary	0
5	22	1	22	good_allowed	43008
5	24	1	24	good_allowed	48384
5	25	1	25	good_allowed	43008
5	27	1	27	good_allowed	43008
5	28	1	28	boundary	0
5	31	1	31	good_allowed	48384
5	42	1	42	good_allowed	48384
5	44	1	44	good_allowed	43008
5	45	1	45	good_allowed	48384
5	46	1	46	boundary	0
5	47	1	47	good_allowed	48384
5	50	1	50	good_allowed	43008
5	52	1	52	good_allowed	48384
