u	t	w	center	a	b	c	d	y0	y1	y2	y3
521	11306	7116	3	156211	17704	67377	96280	27698	159467	22278	97706
521	25947	94962	3	156211	46986	82018	96280	27698	159467	154047	156270
521	40588	21757	3	156211	76268	96659	96280	27698	159467	124765	53783
521	55229	109603	3	156211	105550	111300	96280	27698	159467	95483	112347
521	69870	36398	3	156211	134832	125941	96280	27698	159467	66201	9860
521	84511	124244	3	156211	3063	140582	96280	27698	159467	36919	68424
521	99152	51039	3	156211	32345	155223	96280	27698	159467	7637	126988
521	113793	138885	3	156211	61627	8813	96280	27698	159467	139406	24501
521	128434	65680	3	156211	90909	23454	96280	27698	159467	110124	83065
521	143075	153526	3	156211	120191	38095	96280	27698	159467	80842	141629
521	157716	80321	3	156211	149473	52736	96280	27698	159467	51560	39142
2083	2781	58365	7	75141	149638	87419	160927	79233	81818	30451	39318
2083	17422	146211	7	75141	17869	102060	160927	79233	81818	1169	97882
2083	32063	73006	7	75141	47151	116701	160927	79233	81818	132938	156446
2083	46704	160852	7	75141	76433	131342	160927	79233	81818	103656	53959
2083	61345	87647	7	75141	105715	145983	160927	79233	81818	74374	112523
2083	75986	14442	7	75141	134997	160624	160927	79233	81818	45092	10036
2083	90627	102288	7	75141	3228	14214	160927	79233	81818	15810	68600
2083	105268	29083	7	75141	32510	28855	160927	79233	81818	147579	127164
2083	119909	116929	7	75141	61792	43496	160927	79233	81818	118297	24677
2083	134550	43724	7	75141	91074	58137	160927	79233	81818	89015	83241
2083	149191	131570	7	75141	120356	72778	160927	79233	81818	59733	141805
5185	10965	120911	5	101519	132863	78102	12229	24772	33792	58435	71460
5185	25606	47706	5	101519	1094	92743	12229	24772	33792	29153	130024
5185	40247	135552	5	101519	30376	107384	12229	24772	33792	160922	27537
5185	54888	62347	5	101519	59658	122025	12229	24772	33792	131640	86101
5185	69529	150193	5	101519	88940	136666	12229	24772	33792	102358	144665
5185	84170	76988	5	101519	118222	151307	12229	24772	33792	73076	42178
5185	98811	3783	5	101519	147504	4897	12229	24772	33792	43794	100742
5185	113452	91629	5	101519	15735	19538	12229	24772	33792	14512	159306
5185	128093	18424	5	101519	45017	34179	12229	24772	33792	146281	56819
5185	142734	106270	5	101519	74299	48820	12229	24772	33792	116999	115383
5185	157375	33065	5	101519	103581	63461	12229	24772	33792	87717	12896
5801	5179	153801	1	28072	30387	77871	97380	100738	45672	62791	133951
5801	19820	80596	1	28072	59669	92512	97380	100738	45672	33509	31464
5801	34461	7391	1	28072	88951	107153	97380	100738	45672	4227	90028
5801	49102	95237	1	28072	118233	121794	97380	100738	45672	135996	148592
5801	63743	22032	1	28072	147515	136435	97380	100738	45672	106714	46105
5801	78384	109878	1	28072	15746	151076	97380	100738	45672	77432	104669
5801	93025	36673	1	28072	45028	4666	97380	100738	45672	48150	2182
5801	107666	124519	1	28072	74310	19307	97380	100738	45672	18868	60746
5801	122307	51314	1	28072	103592	33948	97380	100738	45672	150637	119310
5801	136948	139160	1	28072	132874	48589	97380	100738	45672	121355	16823
5801	151589	65955	1	28072	1105	63230	97380	100738	45672	92073	75387
7902	8424	115180	4	21659	136449	69214	149641	136884	49038	51032	70569
7902	23065	41975	4	21659	4680	83855	149641	136884	49038	21750	129133
7902	37706	129821	4	21659	33962	98496	149641	136884	49038	153519	26646
7902	52347	56616	4	21659	63244	113137	149641	136884	49038	124237	85210
7902	66988	144462	4	21659	92526	127778	149641	136884	49038	94955	143774
7902	81629	71257	4	21659	121808	142419	149641	136884	49038	65673	41287
7902	96270	159103	4	21659	151090	157060	149641	136884	49038	36391	99851
7902	110911	85898	4	21659	19321	10650	149641	136884	49038	7109	158415
7902	125552	12693	4	21659	48603	25291	149641	136884	49038	138878	55928
7902	140193	100539	4	21659	77885	39932	149641	136884	49038	109596	114492
7902	154834	27334	4	21659	107167	54573	149641	136884	49038	80314	12005
10102	5784	150336	0	114829	85002	84097	19379	82313	93379	103590	72527
10102	20425	77131	0	114829	114284	98738	19379	82313	93379	74308	131091
10102	35066	3926	0	114829	143566	113379	19379	82313	93379	45026	28604
10102	49707	91772	0	114829	11797	128020	19379	82313	93379	15744	87168
10102	64348	18567	0	114829	41079	142661	19379	82313	93379	147513	145732
10102	78989	106413	0	114829	70361	157302	19379	82313	93379	118231	43245
10102	93630	33208	0	114829	99643	10892	19379	82313	93379	88949	101809
10102	108271	121054	0	114829	128925	25533	19379	82313	93379	59667	160373
10102	122912	47849	0	114829	158207	40174	19379	82313	93379	30385	57886
10102	137553	135695	0	114829	26438	54815	19379	82313	93379	1103	116450
10102	152194	62490	0	114829	55720	69456	19379	82313	93379	132872	13963
10883	4464	4311	2	70301	64289	149756	98953	152746	79541	86848	149604
10883	19105	92157	2	70301	93571	3346	98953	152746	79541	57566	47117
10883	33746	18952	2	70301	122853	17987	98953	152746	79541	28284	105681
10883	48387	106798	2	70301	152135	32628	98953	152746	79541	160053	3194
10883	63028	33593	2	70301	20366	47269	98953	152746	79541	130771	61758
10883	77669	121439	2	70301	49648	61910	98953	152746	79541	101489	120322
10883	92310	48234	2	70301	78930	76551	98953	152746	79541	72207	17835
10883	106951	136080	2	70301	108212	91192	98953	152746	79541	42925	76399
10883	121592	62875	2	70301	137494	105833	98953	152746	79541	13643	134963
10883	136233	150721	2	70301	5725	120474	98953	152746	79541	145412	32476
10883	150874	77516	2	70301	35007	135115	98953	152746	79541	116130	91040
10905	1538	151007	6	54934	81361	78443	33426	3300	32582	114689	133236
