BASE (1/2,-1/2) s=-145/256 t=5/4 rankbounds [2,2]
BASE (1/2,-1/2) zvals=16
MEMBER (1/2,-1/2) v=1610256384/3214323025 tors=[ 4, 4 ] D1=383231028711182184700721990569 a=1463 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 12716103219709688884068035469095056177157972360829787240540080368009285094179505826, 12716103219709688884068035469095056177157972360829787240540080368009285094179505826, 11609256580036647569553074424303574750743171507292053147147989557433541443282784484249530967766914, 1516316595740956243869604511218782058532813448039335564414260176195018 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 25241418617994118416870431449013211533342153569, 3296850378544085253 ] compat=false
  D4 above=T3 pat=111 lam=[ 12716103219709688884068035469095056177157972360829787240540080368009285094179505826, 12716103219709688884068035469095056177157972360829787240540080368009285094179505826, 11609256580036647569553074424303574750743171507292053147147989557433541443282784484249530967766914, 1516316595740956243869604511218782058532813448039335564414260176195018 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 25241418617994118416870431449013211533342153569, 3296850378544085253 ] compat=false
  D4 above=T1 pat=111 lam=[ 394984683080562251536137480086435235516021986687064839192443895250903586365658159203230, 394984683080562251536137480086435235516021986687064839192443895250903586365658159203230, 12132200159224798745880547223386885929104094100346510729623513259967386623935861597300141311195301948288589681189870, 6417473378919837078554019137277903067352048845935362245924084048894913111052235468492241 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 849224874106933251023336878471071685476373932217390484008649, 44920772413682470781212313419185070 ] compat=false
  D4 above=T2 pat=111 lam=[ 72964304996255943229750560092796259883638050602548130, 72964304996255943229750560092796259883638050602548130, 15868041439818942304011060135103445146147660957813570, 262396811040103034176127225014855912323 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 8973061213431036098598072256769, 14838016755890237910 ] compat=false
  D4 above=T1 pat=111 lam=[ 6657967770817553239673342429647340221577964437983684941691678000167301215639085453570, 6657967770817553239673342429647340221577964437983684941691678000167301215639085453570, 492002817595627315399380740551947736687131251026950009985910354363361623914506211784628330427968576496591670180995970, 108174652732579772595487072645324687929157734657565518436946646393403194788778394404319 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 2043098455859182595563498804418896232387962919166189486080123441, 44920772413682470781212313419185070 ] compat=false
  D4 above=T2 pat=111 lam=[ -72964304996255943229750560092796259883638050602548130, -72964304996255943229750560092796259883638050602548130, -3116237034141405723401578969661513451947152584774130, -64747265061843605835667756821847562781 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 1762169941952878435203091199321, 3661328809894993770 ] compat=false
  D4 above=T3 pat=111 lam=[ 348875029101927395967639817824248392386175749809557354365440875814517730425136087994242, 348875029101927395967639817824248392386175749809557354365440875814517730425136087994242, 318507931025153626198940630107025970251610066645326694379630902259119346176476536711005752271522890338, 1393341213808333044065028389803226145263212542513717902530610550771181638 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 25241418617994118416870431449013211533342153569, 110420826075639219 ] compat=false
  D4 above=T3 pat=111 lam=[ 348875029101927395967639817824248392386175749809557354365440875814517730425136087994242, 348875029101927395967639817824248392386175749809557354365440875814517730425136087994242, 318507931025153626198940630107025970251610066645326694379630902259119346176476536711005752271522890338, 1393341213808333044065028389803226145263212542513717902530610550771181638 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 25241418617994118416870431449013211533342153569, 110420826075639219 ] compat=false
  D4 above=T1 pat=111 lam=[ 394984683080562251536137480086435235516021986687064839192443895250903586365658159203230, 394984683080562251536137480086435235516021986687064839192443895250903586365658159203230, 12132200159224798745880547223386885929104094100346510729623513259967386623935861597300141311195301948288589681189870, 6417473378919837078554019137277903067352048845935362245924084048894913111052235468492241 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 849224874106933251023336878471071685476373932217390484008649, 44920772413682470781212313419185070 ] compat=false
  D4 above=T2 pat=111 lam=[ -72964304996255943229750560092796259883638050602548130, -72964304996255943229750560092796259883638050602548130, -3116237034141405723401578969661513451947152584774130, -64747265061843605835667756821847562781 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 1762169941952878435203091199321, 3661328809894993770 ] compat=false
  D4 above=T1 pat=111 lam=[ 6657967770817553239673342429647340221577964437983684941691678000167301215639085453570, 6657967770817553239673342429647340221577964437983684941691678000167301215639085453570, 492002817595627315399380740551947736687131251026950009985910354363361623914506211784628330427968576496591670180995970, 108174652732579772595487072645324687929157734657565518436946646393403194788778394404319 ] d=[ 1, 1, 383231028711182184700721990569, 1463 ] lam2ok=true def=[ 2043098455859182595563498804418896232387962919166189486080123441, 44920772413682470781212313419185070 ] compat=false
