BASE (1/2,1/4) s=97/128 t=5/4 rankbounds [3,3]
BASE (1/2,1/4) zvals=16
  D4 above=T3 pat=111 lam=[ 109504189026163669244950594803039575060336556736845586757138310219837422075145930389034391718897173280902016798087783466, 109504189026163669244950594803039575060336556736845586757138310219837422075145930389034391718897173280902016798087783466, 4157557554135197573697503268114939764436518536667659833587072286573824657212485222113675152735130167006072330084253232227199581978942156744222396356570, 3066460145215948566318117385014776279395441037702388989720317882925286278140290225779039766094662689895 ] d=[ 1, 1, -175674421410172886553912238690828306258696427191, 4991 ] lam2ok=true def=[ 1384509501732592483347924194246630541216932055006395913465958028495248305, 453850143445460195752630 ] compat=false
MEMBER (1/2,1/4) v=65536/21049 tors=[ 4, 4 ] D1=3689 a=4991 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 205814329786, 205814329786, 8833612541235982970, 831173254905 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 7253530505, 2730 ] compat=false
  D4 above=T3 pat=111 lam=[ 205814329786, 205814329786, 8833612541235982970, 831173254905 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 7253530505, 2730 ] compat=false
  D4 above=T2 pat=111 lam=[ 178494065, 178494065, 131386353, 23239927263 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 173145, 3255 ] compat=false
  D4 above=T1 pat=111 lam=[ 81873024593906, 81873024593906, 701166880547179746, 97617837015811 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 1447329, 806 ] compat=false
  D4 above=T2 pat=111 lam=[ -178494065, -178494065, -34226697, -2463218097 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 45105, 345 ] compat=false
  D4 above=T1 pat=111 lam=[ -9326559267506, -9326559267506, -79873370994557346, -57752924694941 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 1447329, 4186 ] compat=false
  D4 above=T3 pat=111 lam=[ 22556127172826, 22556127172826, 968115719069543183770, 9278376158206695 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 7253530505, 278070 ] compat=false
  D4 above=T3 pat=111 lam=[ 22556127172826, 22556127172826, 968115719069543183770, 9278376158206695 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 7253530505, 278070 ] compat=false
  D4 above=T2 pat=111 lam=[ 178494065, 178494065, 131386353, 23239927263 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 173145, 3255 ] compat=false
  D4 above=T1 pat=111 lam=[ -9326559267506, -9326559267506, -79873370994557346, -57752924694941 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 1447329, 4186 ] compat=false
  D4 above=T2 pat=111 lam=[ -178494065, -178494065, -34226697, -2463218097 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 45105, 345 ] compat=false
  D4 above=T1 pat=111 lam=[ 81873024593906, 81873024593906, 701166880547179746, 97617837015811 ] d=[ 1, 1, 3689, 4991 ] lam2ok=true def=[ 1447329, 806 ] compat=false
MEMBER (1/2,1/4) v=272646144/84295231 tors=[ 4, 4 ] D1=3918682526041 a=4991 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 7344077832843704929472552286407645887385419882, 7344077832843704929472552286407645887385419882, 257793765564097709246865179028576244777911087040522, 255646606501675885315140823784876793753 ] d=[ 1, 1, 3918682526041, 4991 ] lam2ok=true def=[ 65179666625805189601, 258547146 ] compat=false
