2.0.1012.1-11.1-b2|-1012|0,0,-1,0,1,0,-10,0,-20,0|5|1
2.0.1012.1-11.1-b3|-1012|0,0,-1,0,1,0,0,0,0,0|5|1
2.0.1023.1-11.1-a2|-1023|0,0,-1,0,1,0,-10,0,-20,0|5|1
2.0.1023.1-11.1-a3|-1023|0,0,-1,0,1,0,0,0,0,0|5|1
2.0.103.1-121.1-a2|-103|0,0,-1,0,1,0,-10,0,-20,0|5|1
2.0.103.1-121.1-a3|-103|0,0,-1,0,1,0,0,0,0,0|5|1
2.0.103.1-196.5-a2|-103|1,0,0,0,1,0,-1,0,0,0|6|1
2.0.103.1-196.5-a3|-103|1,0,0,0,1,0,4,0,-6,0|6|1
2.0.103.1-196.5-a4|-103|1,0,0,0,1,0,-36,0,-70,0|6|1
2.0.103.1-196.5-a5|-103|1,0,0,0,1,0,-11,0,12,0|6|1
2.0.103.1-225.1-a3|-103|1,0,1,0,1,0,35,0,-28,0|8|1
2.0.103.1-225.1-a4|-103|1,0,1,0,1,0,-10,0,-10,0|2,4|1
2.0.103.1-225.1-a5|-103|1,0,1,0,1,0,-5,0,2,0|2,4|1
2.0.103.1-238.3-a5|-103|1,0,-1,1,1,1,59,10,-251,85|2,4|0
2.0.103.1-238.6-a5|-103|1,0,0,-1,0,1,70,-11,-165,-86|2,4|0
2.0.103.1-400.3-a2|-103|0,0,1,0,0,0,4,0,4,0|6|1
2.0.103.1-400.3-a3|-103|0,0,1,0,0,0,-1,0,0,0|6|1
2.0.103.1-441.2-a3|-103|1,0,0,0,0,0,-4,0,-1,0|2,4|1
2.0.103.1-441.2-a4|-103|1,0,0,0,0,0,-39,0,90,0|8|1
2.0.103.1-476.6-a2|-103|1,0,0,1,1,1,-76,3,-142,321|6|0
2.0.103.1-476.6-a4|-103|0,1,1,1,0,1,33,-13,195,19|6|0
2.0.103.1-476.6-b3|-103|1,0,0,0,0,1,209,-11,413,-67|6|0
2.0.103.1-476.6-b4|-103|0,1,1,-1,0,1,51,8,91,-35|6|0
2.0.103.1-476.7-a2|-103|1,0,1,-1,0,1,-72,-4,180,-322|6|0
2.0.103.1-476.7-a4|-103|1,1,-1,1,0,0,6,1,0,0|6|0
2.0.103.1-476.7-b3|-103|1,0,0,0,1,1,198,10,346,66|6|0
2.0.103.1-476.7-b4|-103|1,1,0,0,1,1,59,-10,56,34|6|0
2.0.103.1-532.5-c1|-103|0,1,0,0,0,1,0,1,1,1|6|0
2.0.103.1-532.5-c3|-103|1,0,1,-1,1,0,-107,20,-603,107|6|0
2.0.103.1-532.8-b1|-103|1,1,0,-1,1,1,1,-3,2,-2|6|0
2.0.103.1-532.8-b3|-103|1,0,0,1,1,0,-87,-20,-496,-107|6|0
2.0.103.1-576.4-a3|-103|0,0,-1,0,0,0,-4,0,4,0|2,4|1
2.0.103.1-676.5-d2|-103|1,0,-1,0,1,0,-3,0,3,0|7|1
